"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";5;2;-;-;2;1;-;-;1;2;1;1;15
"110037 Alto Alegre dos Parecis";3;3;4;-;-;-;-;-;-;-;1;1;12
"110040 Alto Paraíso";3;2;15;3;2;-;-;-;-;-;-;-;25
"110034 Alvorada D'Oeste";3;1;2;1;1;-;-;-;-;-;-;-;8
"110002 Ariquemes";14;7;8;1;12;7;3;5;3;1;-;-;61
"110045 Buritis";11;6;23;13;12;8;3;9;8;12;19;17;141
"110003 Cabixi";-;-;-;-;2;2;1;-;-;-;-;-;5
"110060 Cacaulândia";24;10;11;4;1;-;-;-;-;-;-;-;50
"110004 Cacoal";5;4;11;5;-;1;-;-;-;1;1;-;28
"110070 Campo Novo de Rondônia";6;-;4;6;1;-;-;-;1;1;-;1;20
"110080 Candeias do Jamari";9;-;3;1;-;-;1;-;-;-;-;-;14
"110090 Castanheiras";-;-;3;-;-;-;-;-;-;-;-;-;3
"110005 Cerejeiras";67;105;75;15;2;1;-;1;-;1;2;-;269
"110006 Colorado do Oeste";1;-;8;1;1;-;-;-;-;1;-;3;15
"110007 Corumbiara";2;1;1;-;-;-;-;-;-;1;-;-;5
"110094 Cujubim";23;8;7;5;3;2;2;1;-;3;1;1;56
"110009 Espigão D'Oeste";21;23;18;16;13;13;-;3;8;2;1;-;118
"110100 Governador Jorge Teixeira";-;1;2;-;-;-;-;-;-;-;-;3;6
"110010 Guajará-Mirim";14;13;28;10;-;5;5;-;-;1;7;15;98
"110110 Itapuã do Oeste";3;4;1;-;-;-;-;1;-;-;-;-;9
"110011 Jaru";31;57;43;3;2;1;-;1;1;-;2;-;141
"110012 Ji-Paraná";28;26;12;1;1;-;-;2;1;2;3;5;81
"110013 Machadinho D'Oeste";98;11;8;1;1;1;1;1;1;-;-;-;123
"110120 Ministro Andreazza";1;1;2;-;-;1;-;-;-;2;-;-;7
"110130 Mirante da Serra";-;-;-;-;4;-;-;-;-;-;3;-;7
"110140 Monte Negro";15;8;2;1;-;-;-;1;-;1;2;2;32
"110014 Nova Brasilândia D'Oeste";12;10;17;12;12;3;2;2;1;-;-;-;71
"110033 Nova Mamoré";-;-;1;-;-;-;-;-;-;-;1;1;3
"110143 Nova União";1;2;-;1;1;1;-;1;-;-;1;1;9
"110050 Novo Horizonte do Oeste";2;1;-;-;1;-;-;-;-;-;-;-;4
"110015 Ouro Preto do Oeste";5;11;10;1;6;3;4;3;1;-;6;6;56
"110145 Parecis";2;4;4;5;-;-;-;1;-;-;-;-;16
"110018 Pimenta Bueno";14;10;12;1;-;2;-;-;1;-;-;-;40
"110146 Pimenteiras do Oeste";1;1;3;-;-;-;-;-;-;-;-;-;5
"110020 Porto Velho";130;115;36;17;8;6;4;7;6;6;13;9;357
"110025 Presidente Médici";1;9;19;6;-;-;-;1;4;-;2;-;42
"110147 Primavera de Rondônia";1;-;-;-;-;-;-;-;-;-;-;-;1
"110026 Rio Crespo";-;2;-;-;-;-;-;-;-;-;-;-;2
"110028 Rolim de Moura";5;7;9;4;2;4;8;11;6;6;3;24;89
