DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de notificação e Mês notificação
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;1;1;1;2;28;76;50;4;17;22;30;232
"110037 Alto Alegre dos Parecis";-;-;-;1;-;-;-;-;1;-;8;27;37
"110040 Alto Paraíso";2;-;-;-;-;-;-;-;-;1;2;-;5
"110002 Ariquemes";-;-;-;2;3;3;2;-;-;-;7;11;28
"110045 Buritis";4;8;15;16;7;8;13;2;2;1;5;19;100
"110003 Cabixi";-;-;1;3;13;14;5;1;4;17;20;13;91
"110004 Cacoal";3;3;1;5;6;3;1;1;2;2;1;7;35
"110070 Campo Novo de Rondônia";-;1;1;7;-;1;1;-;-;-;-;1;12
"110080 Candeias do Jamari";1;4;1;1;-;-;-;-;-;-;-;-;7
"110090 Castanheiras";-;-;-;-;-;1;-;1;1;-;-;-;3
"110005 Cerejeiras";-;1;4;-;1;-;1;1;-;3;1;2;14
"110006 Colorado do Oeste";4;1;-;-;1;-;-;-;1;1;-;3;11
"110007 Corumbiara";-;-;-;1;-;1;-;1;-;2;-;1;6
"110008 Costa Marques";-;-;-;-;-;-;-;1;1;-;-;-;2
"110094 Cujubim";-;-;2;-;1;-;1;1;-;-;-;2;7
"110009 Espigão D'Oeste";2;1;1;4;-;2;1;2;-;-;-;1;14
"110010 Guajará-Mirim";-;2;2;-;1;-;1;1;-;-;1;-;8
"110110 Itapuã do Oeste";-;-;1;-;1;-;-;-;-;-;-;2;4
"110011 Jaru";2;-;-;-;3;2;-;-;-;-;-;3;10
"110012 Ji-Paraná";1;2;1;8;1;-;-;1;-;-;-;-;14
"110013 Machadinho D'Oeste";-;-;1;-;-;-;-;-;-;-;-;1;2
"110120 Ministro Andreazza";-;-;1;-;-;-;-;-;-;-;-;-;1
"110140 Monte Negro";-;1;4;4;2;1;-;-;-;-;1;-;13
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;5;2;3;3;8;21
"110033 Nova Mamoré";1;-;1;15;-;-;1;-;-;-;1;10;29
"110143 Nova União";-;1;-;-;-;-;-;-;-;-;-;-;1
"110050 Novo Horizonte do Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";1;2;1;2;-;1;-;-;-;1;4;2;14
"110018 Pimenta Bueno";-;-;-;-;2;1;-;2;-;1;3;2;11
"110146 Pimenteiras do Oeste";-;-;-;1;-;-;-;-;-;-;1;2;4
"110020 Porto Velho";10;11;5;14;19;15;15;8;7;12;22;43;181
"110025 Presidente Médici";-;2;-;1;-;-;9;-;-;3;5;4;24
"110147 Primavera de Rondônia";-;-;1;-;-;-;-;-;-;-;-;1;2
"110028 Rolim de Moura";-;-;-;-;-;-;-;1;-;1;1;2;5
"110148 São Felipe D'Oeste";-;-;-;-;1;1;-;-;-;-;-;-;2
"110149 São Francisco do Guaporé";-;-;-;3;-;2;-;1;-;-;-;2;8
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;-;-;-;1;-;1
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;2;-;2
"110180 Vale do Paraíso";-;-;4;-;-;-;-;-;-;-;-;-;4
"110030 Vilhena";1;2;-;-;1;1;3;-;-;-;3;6;17
"120001 Acrelândia";4;-;-;1;1;-;-;-;-;1;2;1;10
"120005 Assis Brasil";2;12;6;17;7;-;1;1;-;-;30;6;82
"120010 Brasiléia";112;82;34;19;11;8;11;10;10;14;12;41;364
"120017 Capixaba";3;4;5;3;4;-;-;1;5;14;15;9;63
"120020 Cruzeiro do Sul";69;70;65;25;34;18;42;57;75;254;987;1132;2828
"120025 Epitaciolândia";14;1;7;3;1;3;1;2;1;-;-;9;42
"120030 Feijó";-;-;-;-;-;-;-;-;-;-;1;-;1
"120033 Mâncio Lima";63;2;-;-;-;-;-;2;2;51;117;55;292
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;-;1;-;3;4
"120035 Marechal Thaumaturgo";1;-;-;-;-;-;-;-;-;-;-;9;10
"120038 Plácido de Castro";101;20;4;1;-;-;-;2;-;-;-;8;136
"120080 Porto Acre";11;1;-;-;-;-;-;-;-;-;-;-;12
"120040 Rio Branco";912;649;504;305;147;66;32;20;24;23;71;138;2891
"120042 Rodrigues Alves";21;17;11;3;20;4;4;1;-;6;165;167;419
"120050 Sena Madureira";210;69;21;6;-;-;-;-;-;1;-;16;323
"120045 Senador Guiomard";2;2;2;1;1;2;-;-;4;3;5;5;27
"120060 Tarauacá";75;170;137;83;70;40;36;74;22;223;523;460;1913
"120070 Xapuri";110;120;70;29;22;16;10;4;2;7;86;206;682
"130002 Alvarães";-;3;-;-;-;-;-;-;-;-;-;-;3
"130020 Atalaia do Norte";-;-;-;-;-;-;-;-;-;-;3;9;12
"130040 Barcelos";-;-;3;1;1;3;-;-;1;-;-;-;9
"130060 Benjamin Constant";-;-;-;-;-;-;-;-;-;1;44;351;396
"130070 Boca do Acre";134;49;9;3;-;-;-;-;-;-;-;-;195
"130080 Borba";2;9;-;5;5;1;4;4;9;-;1;3;43
"130100 Carauari";-;-;-;-;-;-;2;2;6;18;278;295;601
"130120 Coari";-;-;-;-;-;-;-;-;-;-;1;1;2
"130130 Codajás";-;-;-;6;-;-;-;-;1;-;-;-;7
"130140 Eirunepé";-;-;-;-;-;-;-;-;-;-;-;10;10
"130165 Guajará";13;36;29;16;14;7;7;13;15;124;182;163;619
"130170 Humaitá";-;1;14;21;6;7;-;1;-;2;5;13;70
"130180 Ipixuna";-;14;6;2;-;-;-;-;-;-;-;-;22
"130185 Iranduba";-;-;-;-;-;1;-;-;-;-;-;-;1
"130190 Itacoatiara";4;9;3;3;2;3;5;3;2;1;-;-;35
"130240 Lábrea";-;-;-;-;-;-;-;-;-;-;-;1;1
"130250 Manacapuru";-;-;-;-;-;-;-;-;-;-;-;12;12
"130260 Manaus";46;61;57;59;63;65;29;19;7;17;20;30;473
"130290 Maués";-;3;-;-;1;-;-;-;-;-;-;-;4
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-;1;-;-;-;-;1
"130320 Novo Airão";-;-;-;1;1;-;-;-;3;2;-;-;7
"130330 Novo Aripuanã";2;2;-;4;3;-;1;2;-;-;-;-;14
"130340 Parintins";-;-;1;-;1;-;-;-;-;-;-;-;2
"130350 Pauini";-;-;-;-;1;-;-;-;-;-;-;-;1
"130353 Presidente Figueiredo";-;2;14;5;22;2;1;-;-;-;-;2;48
"130356 Rio Preto da Eva";-;-;1;-;-;-;-;-;-;-;-;-;1
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;-;-;-;-;1;1
"130380 São Gabriel da Cachoeira";-;1;3;5;2;2;-;-;34;145;265;372;829
"130390 São Paulo de Olivença";-;-;-;-;-;-;-;-;2;-;-;3;5
"130406 Tabatinga";-;1;-;3;1;3;6;2;20;154;108;85;383
"130410 Tapauá";5;3;6;1;-;-;-;-;-;-;-;-;15
"130420 Tefé";15;13;5;1;5;3;2;-;1;-;1;3;49
"130430 Urucará";-;-;-;-;-;-;-;-;-;-;-;2;2
"140005 Alto Alegre";-;-;-;-;-;-;1;5;-;-;-;-;6
"140002 Amajari";-;-;3;-;-;-;-;-;-;1;2;-;6
"140010 Boa Vista";25;12;19;12;6;8;15;24;113;190;389;214;1027
"140015 Bonfim";-;-;-;1;-;-;13;20;3;6;1;2;46
"140017 Cantá";-;-;-;1;-;-;1;-;-;-;1;1;4
"140020 Caracaraí";-;-;6;3;5;1;4;11;16;39;33;78;196
"140023 Caroebe";3;11;27;36;61;43;16;6;5;2;-;-;210
"140028 Iracema";-;1;-;-;-;-;-;-;-;-;-;-;1
"140030 Mucajaí";1;-;2;-;1;2;1;9;16;8;5;1;46
"140040 Normandia";-;-;-;-;-;-;-;-;-;1;-;1;2
"140045 Pacaraima";-;-;-;-;-;-;-;-;-;-;1;2;3
"140047 Rorainópolis";-;2;-;-;-;-;-;-;-;2;1;1;6
"140050 São João da Baliza";2;1;1;2;1;5;3;1;1;-;-;-;17
"140060 São Luiz";-;-;-;-;-;-;-;-;2;-;-;-;2
"140070 Uiramutã";-;-;-;-;-;-;-;-;-;1;6;12;19
"150010 Abaetetuba";-;-;1;-;1;-;-;-;4;-;-;1;7
"150013 Abel Figueiredo";1;-;-;-;1;1;1;2;-;-;-;-;6
"150020 Acará";-;-;-;-;1;1;-;-;-;-;-;-;2
"150030 Afuá";5;-;-;-;-;-;-;-;-;-;-;-;5
"150034 Água Azul do Norte";4;19;7;-;-;-;-;-;-;-;-;-;30
"150040 Alenquer";-;-;1;1;1;-;1;-;1;-;-;-;5
"150060 Altamira";7;4;-;4;5;2;2;1;4;3;11;14;57
"150080 Ananindeua";11;13;6;8;5;3;-;5;5;-;7;4;67
"150085 Anapu";1;4;17;36;44;24;3;3;2;-;-;-;134
"150090 Augusto Corrêa";-;1;2;-;-;-;-;-;-;1;-;-;4
"150095 Aurora do Pará";-;-;1;-;-;-;-;-;-;-;-;-;1
"150120 Baião";-;1;-;-;-;-;-;-;-;-;-;-;1
"150125 Bannach";1;3;4;2;-;-;-;-;-;1;18;-;29
"150130 Barcarena";4;-;-;-;-;-;-;-;-;-;3;2;9
"150140 Belém";19;21;6;11;11;9;10;23;22;25;23;19;199
"150145 Belterra";-;-;-;-;1;-;1;1;-;1;-;-;4
"150150 Benevides";1;1;1;2;-;-;1;-;-;-;-;-;6
"150160 Bonito";1;-;6;10;-;-;1;-;-;-;-;-;18
"150170 Bragança";-;-;3;4;10;5;6;1;1;-;-;-;30
"150172 Brasil Novo";6;43;9;6;1;-;5;-;-;1;2;-;73
"150175 Brejo Grande do Araguaia";-;-;-;2;-;-;-;-;-;-;-;-;2
"150178 Breu Branco";-;-;-;-;2;-;-;-;-;-;3;-;5
"150180 Breves";-;-;-;-;-;-;-;-;-;1;1;-;2
"150210 Cametá";-;2;2;-;1;1;2;1;-;-;1;3;13
"150215 Canaã dos Carajás";47;88;64;42;34;13;4;1;-;2;-;4;299
"150220 Capanema";6;9;21;2;5;3;3;2;6;4;1;1;63
"150230 Capitão Poço";-;-;1;-;-;-;-;1;-;-;-;-;2
"150240 Castanhal";2;4;1;1;1;2;-;2;4;3;1;9;30
"150250 Chaves";1;-;-;1;-;-;-;-;-;-;-;-;2
"150260 Colares";-;-;-;-;-;-;1;-;-;-;-;-;1
"150270 Conceição do Araguaia";14;82;107;33;20;-;-;-;2;6;24;3;291
"150276 Cumaru do Norte";-;-;-;2;3;3;-;-;-;-;-;-;8
"150277 Curionópolis";-;-;1;1;-;1;-;-;-;-;-;-;3
"150280 Curralinho";-;-;-;-;-;-;-;1;-;-;-;-;1
"150290 Curuçá";-;-;-;1;-;1;-;-;-;-;1;1;4
"150293 Dom Eliseu";8;8;5;2;8;-;1;2;1;-;-;-;35
"150304 Floresta do Araguaia";7;-;-;-;4;-;-;-;-;-;-;-;11
"150309 Goianésia do Pará";1;6;9;45;117;30;33;17;5;5;2;3;273
"150320 Igarapé-Açu";2;-;1;2;-;-;-;-;2;1;2;-;10
"150330 Igarapé-Miri";-;-;1;-;-;-;-;-;-;-;6;4;11
"150340 Inhangapi";-;-;-;-;-;-;-;-;-;-;-;1;1
"150345 Ipixuna do Pará";-;-;-;-;1;2;-;2;-;-;-;-;5
"150350 Irituia";-;-;1;1;-;-;-;-;-;-;-;-;2
"150360 Itaituba";1;-;3;5;4;3;1;1;-;-;-;3;21
"150370 Itupiranga";1;1;7;15;2;-;-;-;-;-;-;-;26
"150380 Jacundá";2;1;4;1;1;8;1;-;-;-;-;-;18
"150390 Juruti";-;-;-;-;-;-;-;-;2;-;-;-;2
"150400 Limoeiro do Ajuru";-;1;-;-;-;-;-;-;-;-;-;-;1
"150405 Mãe do Rio";3;6;1;1;2;-;-;1;-;-;-;-;14
"150420 Marabá";6;10;9;4;9;2;3;9;-;1;-;-;53
"150430 Maracanã";-;-;1;-;-;-;1;19;-;1;-;-;22
"150440 Marapanim";1;1;7;-;-;-;-;-;-;-;1;-;10
"150442 Marituba";-;1;1;4;5;4;-;1;2;1;3;2;24
"150445 Medicilândia";16;25;9;5;3;2;-;-;-;1;1;1;63
"150460 Mocajuba";-;-;-;-;2;-;1;-;2;4;14;-;23
"150470 Moju";29;8;-;-;-;-;-;-;-;1;-;1;39
"150475 Mojuí dos Campos";-;-;2;-;1;-;1;-;-;-;-;-;4
"150480 Monte Alegre";-;-;1;-;-;-;-;-;-;-;-;-;1
"150495 Nova Esperança do Piriá";1;-;2;-;-;-;1;-;-;-;-;-;4
"150497 Nova Ipixuna";2;-;-;2;2;-;-;-;4;15;33;11;69
"150500 Nova Timboteua";-;1;1;-;-;-;-;-;-;-;-;-;2
"150503 Novo Progresso";2;1;4;3;2;-;5;4;1;22;46;8;98
"150506 Novo Repartimento";13;24;13;27;23;9;-;-;-;-;1;1;111
"150510 Óbidos";-;-;-;-;1;-;-;-;-;-;1;-;2
"150530 Oriximiná";-;-;-;1;-;3;2;-;-;2;-;-;8
"150543 Ourilândia do Norte";-;-;1;6;10;6;13;19;5;2;1;1;64
"150548 Pacajá";9;2;7;12;25;5;1;1;2;-;2;-;66
"150549 Palestina do Pará";-;-;-;2;1;-;-;-;-;-;-;-;3
"150550 Paragominas";1;-;-;37;10;-;-;-;-;-;-;-;48
"150553 Parauapebas";214;277;272;218;186;164;75;56;52;51;28;39;1632
"150555 Pau D'Arco";-;-;-;-;-;-;-;-;-;-;1;-;1
"150560 Peixe-Boi";-;-;-;-;2;1;-;-;-;-;-;-;3
"150563 Piçarra";-;-;-;1;2;-;-;-;-;-;-;-;3
"150570 Ponta de Pedras";-;-;-;-;-;-;-;-;-;1;-;-;1
"150600 Prainha";-;-;-;-;-;-;-;-;2;-;-;-;2
"150611 Quatipuru";1;-;1;-;2;-;-;-;-;1;-;1;6
"150613 Redenção";-;3;-;-;6;1;-;-;-;-;1;1;12
"150616 Rio Maria";1;6;-;3;12;-;1;2;-;2;2;4;33
"150618 Rondon do Pará";16;24;1;9;1;-;1;1;-;-;-;1;54
"150619 Rurópolis";1;10;26;13;14;7;2;-;-;1;8;-;82
