"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;-;-;-;1;-;-;17;18
"110037 Alto Alegre dos Parecis";4;7;-;3;2;-;-;1;-;-;-;-;17
"110040 Alto Paraíso";-;13;7;4;1;2;-;-;-;-;-;-;27
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;1
"110002 Ariquemes";5;1;4;1;7;2;5;5;-;-;4;14;48
"110045 Buritis";54;66;22;20;3;8;3;1;-;4;18;44;243
"110003 Cabixi";1;-;-;-;-;-;-;-;-;-;-;-;1
"110060 Cacaulândia";-;-;1;-;2;1;-;2;-;-;-;-;6
"110004 Cacoal";28;25;32;18;9;4;4;5;-;3;9;73;210
"110070 Campo Novo de Rondônia";1;-;3;1;3;4;5;-;1;1;7;51;77
"110080 Candeias do Jamari";-;-;-;-;-;1;-;-;-;-;6;2;9
"110090 Castanheiras";-;-;-;-;-;1;-;-;-;3;11;20;35
"110005 Cerejeiras";3;-;1;-;-;-;-;-;1;-;-;-;5
"110092 Chupinguaia";17;15;24;11;8;6;8;1;1;-;2;-;93
"110006 Colorado do Oeste";-;1;-;-;1;2;2;-;-;-;1;1;8
"110007 Corumbiara";-;-;1;1;-;-;-;-;-;-;-;-;2
"110008 Costa Marques";10;12;4;-;-;1;1;1;-;-;-;1;30
"110094 Cujubim";1;-;-;-;2;-;-;1;3;1;1;3;12
"110009 Espigão D'Oeste";5;2;6;4;1;-;-;4;1;-;-;-;23
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;2;-;-;2
"110010 Guajará-Mirim";5;34;20;5;-;-;1;-;3;-;2;1;71
"110110 Itapuã do Oeste";2;14;10;7;3;5;10;5;2;1;-;-;59
"110011 Jaru";14;9;9;3;3;3;-;-;-;-;-;4;45
"110012 Ji-Paraná";2;2;8;12;22;6;1;9;3;7;2;6;80
"110013 Machadinho D'Oeste";4;1;3;-;4;3;-;3;-;-;-;2;20
"110120 Ministro Andreazza";-;-;-;2;4;4;1;-;-;-;1;23;35
"110140 Monte Negro";1;1;-;1;5;15;11;-;3;11;125;118;291
"110014 Nova Brasilândia D'Oeste";2;4;6;8;7;3;1;-;-;-;1;1;33
"110033 Nova Mamoré";4;1;-;-;1;-;-;-;-;2;-;1;9
"110143 Nova União";-;-;-;-;-;-;1;-;-;-;-;1;2
"110050 Novo Horizonte do Oeste";-;2;2;-;-;-;-;-;-;-;10;-;14
"110015 Ouro Preto do Oeste";2;1;2;1;-;-;-;-;-;-;-;1;7
"110145 Parecis";21;32;14;1;1;2;-;1;-;3;1;-;76
"110018 Pimenta Bueno";5;16;24;3;-;-;-;-;-;-;1;1;50
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;1;-;1
"110020 Porto Velho";76;30;21;29;20;16;12;5;1;5;10;17;242
"110025 Presidente Médici";2;1;5;7;2;-;1;-;-;1;2;21;42
"110147 Primavera de Rondônia";15;3;10;-;-;2;1;-;-;1;3;2;37
"110026 Rio Crespo";-;2;-;-;-;-;-;-;1;-;-;-;3
"110028 Rolim de Moura";4;1;2;1;1;1;1;-;1;2;2;1;17
"110029 Santa Luzia D'Oeste";2;-;-;-;4;2;-;-;-;1;-;2;11
"110148 São Felipe D'Oeste";1;4;-;-;-;-;-;-;-;-;-;-;5
"110149 São Francisco do Guaporé";7;12;10;25;10;1;1;-;-;-;-;2;68
"110032 São Miguel do Guaporé";-;-;2;-;-;6;-;1;-;2;3;24;38
"110150 Seringueiras";-;2;4;14;34;37;7;-;-;-;1;12;111
"110155 Teixeirópolis";-;-;3;1;-;2;2;-;-;-;-;1;9
"110160 Theobroma";1;1;1;-;-;-;-;-;-;1;-;-;4
"110170 Urupá";2;-;-;2;1;-;-;-;-;-;-;27;32
"110175 Vale do Anari";-;-;-;1;1;-;-;-;-;-;-;-;2
"110180 Vale do Paraíso";1;-;-;-;-;-;1;-;-;-;-;-;2
"110030 Vilhena";7;14;22;11;14;11;3;4;1;2;8;16;113
"120001 Acrelândia";62;63;31;12;7;5;-;-;1;-;-;-;181
"120005 Assis Brasil";77;30;55;40;28;6;3;9;9;33;81;111;482
"120010 Brasiléia";219;128;80;46;21;12;10;1;10;5;9;42;583
"120013 Bujari";22;23;24;3;1;-;1;-;-;-;-;-;74
"120017 Capixaba";29;25;24;1;2;-;-;2;-;1;1;4;89
"120020 Cruzeiro do Sul";139;149;153;87;51;39;29;23;24;91;120;200;1105
"120025 Epitaciolândia";28;4;-;4;1;-;-;-;2;-;-;3;42
"120030 Feijó";82;84;43;5;2;2;5;1;54;64;39;189;570
"120032 Jordão";-;1;-;-;-;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";18;44;58;36;17;11;15;16;11;3;-;-;229
"120034 Manoel Urbano";5;10;47;14;12;9;12;8;3;25;39;41;225
"120035 Marechal Thaumaturgo";191;160;105;34;20;7;4;5;-;4;26;19;575
"120038 Plácido de Castro";17;6;6;1;2;-;-;-;-;-;-;-;32
"120080 Porto Acre";39;45;12;-;-;-;-;-;-;-;-;-;96
"120039 Porto Walter";2;3;2;4;-;-;-;-;-;-;-;-;11
"120040 Rio Branco";1687;2067;1411;376;111;34;19;7;30;23;19;62;5846
"120042 Rodrigues Alves";67;92;91;48;25;11;8;29;24;21;38;22;476
"120050 Sena Madureira";37;161;199;47;39;7;10;6;7;14;22;86;635
"120045 Senador Guiomard";13;11;2;-;1;-;-;-;-;1;2;6;36
"120060 Tarauacá";1637;813;667;99;62;24;-;1;-;-;5;9;3317
"120070 Xapuri";192;335;215;60;24;7;8;11;1;3;5;18;879
"130002 Alvarães";1;-;6;3;6;2;-;-;-;-;-;-;18
"130006 Amaturá";2;-;1;-;-;-;-;-;-;-;-;-;3
"130010 Anori";-;1;2;1;1;-;-;-;-;-;-;-;5
"130020 Atalaia do Norte";-;1;2;-;-;-;-;-;-;-;-;-;3
"130030 Autazes";-;-;-;-;-;1;-;-;-;-;-;-;1
"130040 Barcelos";1;1;-;-;-;-;-;2;-;-;-;-;4
"130060 Benjamin Constant";29;19;21;12;3;4;-;-;-;-;-;-;88
"130063 Beruri";3;4;1;3;1;2;1;-;1;-;-;-;16
"130068 Boa Vista do Ramos";-;-;-;1;-;-;-;-;-;-;-;-;1
"130070 Boca do Acre";71;23;28;23;7;5;-;-;-;-;-;-;157
"130080 Borba";-;1;-;1;-;4;1;5;2;3;4;5;26
"130083 Caapiranga";-;-;-;-;-;1;-;-;-;-;-;-;1
"130100 Carauari";2;15;12;2;8;-;1;1;-;-;-;-;41
"130120 Coari";-;-;4;3;5;-;-;1;-;-;-;-;13
"130130 Codajás";-;-;-;-;7;1;2;5;1;-;-;-;16
"130140 Eirunepé";59;42;20;2;-;-;-;-;-;2;-;1;126
"130150 Envira";58;14;31;11;16;3;6;-;-;-;-;2;141
"130160 Fonte Boa";-;-;-;-;2;1;-;-;-;-;-;-;3
"130165 Guajará";4;5;18;5;4;-;-;4;-;1;4;2;47
"130170 Humaitá";6;14;60;56;40;17;9;2;2;2;1;4;213
"130180 Ipixuna";-;-;38;24;1;5;25;18;-;-;-;-;111
"130185 Iranduba";-;15;96;70;61;13;4;9;1;7;3;2;281
"130190 Itacoatiara";5;-;5;3;10;4;5;-;3;3;2;1;41
"130210 Japurá";-;-;-;3;-;-;-;-;-;-;-;-;3
"130230 Jutaí";4;44;82;58;25;20;16;5;1;-;1;-;256
"130240 Lábrea";99;128;66;82;2;-;-;-;-;-;-;3;380
"130250 Manacapuru";-;15;26;95;74;16;-;1;-;-;-;-;227
"130260 Manaus";193;404;770;791;529;450;392;211;127;77;47;61;4052
"130270 Manicoré";31;112;107;25;35;12;14;33;21;19;38;32;479
"130290 Maués";-;-;1;2;1;-;1;1;-;-;-;-;6
"130320 Novo Airão";3;2;1;-;-;-;-;3;2;11;17;3;42
"130330 Novo Aripuanã";2;7;8;-;-;1;-;-;-;-;-;-;18
"130340 Parintins";8;2;5;1;4;5;3;3;3;1;-;2;37
"130350 Pauini";-;-;-;1;-;1;-;-;-;-;-;-;2
"130353 Presidente Figueiredo";10;16;11;1;1;-;2;-;1;-;-;-;42
"130356 Rio Preto da Eva";2;4;-;1;2;2;-;-;-;-;-;-;11
"130360 Santa Isabel do Rio Negro";-;-;2;3;11;-;-;-;-;-;-;-;16
"130370 Santo Antônio do Içá";28;33;17;2;3;-;-;-;-;-;-;-;83
"130380 São Gabriel da Cachoeira";2;2;7;6;4;3;-;1;-;-;-;-;25
"130390 São Paulo de Olivença";2;33;52;34;7;1;1;-;1;-;-;-;131
"130395 São Sebastião do Uatumã";9;2;3;-;1;-;-;-;6;2;1;1;25
"130406 Tabatinga";26;61;38;20;1;2;1;1;2;-;-;-;152
"130410 Tapauá";-;1;9;7;78;111;59;39;35;65;249;288;941
"130420 Tefé";76;43;70;35;23;8;9;-;-;4;1;26;295
"130423 Tonantins";1;15;6;-;-;-;-;-;-;-;-;-;22
"130440 Urucurituba";-;-;-;-;-;-;-;1;-;-;-;-;1
"140005 Alto Alegre";-;-;-;2;2;3;-;-;-;-;1;-;8
"140010 Boa Vista";9;2;2;3;2;4;9;5;1;1;4;1;43
"140015 Bonfim";-;-;1;-;1;2;1;-;-;-;-;-;5
"140020 Caracaraí";-;4;2;-;1;-;-;-;-;-;-;-;7
"140023 Caroebe";-;1;1;5;6;-;-;-;-;-;-;-;13
"140028 Iracema";-;-;-;-;1;-;-;-;-;1;1;-;3
"140030 Mucajaí";-;1;1;-;-;2;-;1;-;-;1;-;6
"140047 Rorainópolis";2;2;3;1;3;8;-;-;-;-;-;-;19
"140050 São João da Baliza";-;-;1;5;3;2;-;-;-;-;-;-;11
"140070 Uiramutã";-;-;-;-;-;-;-;1;-;-;-;-;1
"150010 Abaetetuba";-;-;-;1;2;3;-;-;-;3;-;1;10
"150020 Acará";-;-;-;-;-;-;-;-;-;-;3;4;7
"150034 Água Azul do Norte";1;2;-;5;7;-;-;-;-;1;-;2;18
"150040 Alenquer";-;-;26;48;17;3;2;-;-;-;1;16;113
"150060 Altamira";19;46;45;39;19;17;1;1;2;-;5;2;196
"150080 Ananindeua";-;6;2;1;1;1;3;1;1;-;2;1;19
"150085 Anapu";-;-;-;-;-;-;-;-;1;-;-;1;2
"150090 Augusto Corrêa";1;-;-;-;-;-;5;3;-;-;-;-;9
"150095 Aurora do Pará";-;-;-;-;-;1;-;1;-;-;-;-;2
"150120 Baião";-;2;1;-;-;-;-;1;-;-;-;-;4
"150125 Bannach";1;-;5;7;6;-;-;-;-;-;1;6;26
"150130 Barcarena";1;-;-;-;1;-;-;-;1;-;-;-;3
"150140 Belém";58;76;76;78;81;84;70;36;12;34;19;12;636
"150145 Belterra";-;-;-;-;-;-;-;-;-;-;-;22;22
"150150 Benevides";-;1;9;3;3;-;2;-;-;-;-;-;18
"150170 Bragança";-;1;1;3;-;1;1;-;-;1;1;-;9
"150172 Brasil Novo";-;-;1;1;7;1;-;-;1;1;-;-;12
"150175 Brejo Grande do Araguaia";-;-;1;2;2;-;-;-;1;1;-;-;7
"150180 Breves";1;-;-;-;-;-;-;-;-;-;-;-;1
"150210 Cametá";1;3;-;-;-;-;1;-;2;4;6;7;24
"150215 Canaã dos Carajás";-;3;8;1;4;10;6;1;1;-;3;18;55
"150220 Capanema";-;-;2;1;7;-;-;1;1;-;1;-;13
"150240 Castanhal";1;1;3;3;2;2;2;-;2;-;1;1;18
"150260 Colares";-;-;-;-;-;-;-;-;-;1;-;-;1
"150270 Conceição do Araguaia";1;-;-;1;-;1;6;21;13;4;236;841;1124
"150275 Concórdia do Pará";-;-;-;-;-;-;-;-;-;-;-;2;2
"150276 Cumaru do Norte";-;2;21;8;-;-;-;-;-;-;-;5;36
"150280 Curralinho";-;-;-;-;-;-;-;-;-;2;-;-;2
"150295 Eldorado do Carajás";-;-;-;-;-;-;-;-;-;-;-;1;1
"150304 Floresta do Araguaia";1;-;-;-;-;-;-;-;1;1;4;60;67
"150330 Igarapé-Miri";-;-;-;-;5;-;-;-;1;4;14;9;33
"150340 Inhangapi";-;-;1;-;-;-;1;-;-;-;-;-;2
"150345 Ipixuna do Pará";-;-;1;-;1;4;1;1;-;-;-;-;8
"150350 Irituia";-;-;-;-;-;1;-;-;-;-;-;-;1
"150360 Itaituba";112;116;180;63;30;10;7;6;5;7;13;11;560
"150380 Jacundá";1;-;-;-;-;-;-;-;-;-;-;1;2
"150390 Juruti";-;2;1;3;-;1;-;1;-;-;-;-;8
"150410 Magalhães Barata";-;-;-;-;1;-;1;-;-;-;-;-;2
"150420 Marabá";-;-;-;-;-;-;2;1;3;-;-;2;8
"150442 Marituba";4;1;1;1;2;1;2;-;-;-;-;1;13
"150445 Medicilândia";4;28;11;4;4;1;-;-;1;1;-;-;54
"150460 Mocajuba";-;1;-;-;-;-;-;-;1;-;-;-;2
"150470 Moju";-;1;1;-;-;-;-;-;-;-;1;-;3
"150475 Mojuí dos Campos";1;2;1;1;-;2;2;-;1;-;2;-;12
"150480 Monte Alegre";-;-;-;-;-;1;-;-;-;-;-;-;1
"150490 Muaná";-;-;-;1;-;-;-;-;-;-;-;-;1
"150497 Nova Ipixuna";-;-;-;-;1;-;-;-;-;-;-;1;2
"150503 Novo Progresso";2;2;6;1;2;-;-;1;2;-;19;5;40
"150506 Novo Repartimento";5;35;18;7;3;7;-;-;1;-;-;-;76
"150510 Óbidos";-;-;-;1;1;2;1;1;3;-;-;1;10
"150530 Oriximiná";1;-;-;-;-;-;-;2;-;-;-;6;9
"150540 Ourém";-;-;-;-;-;-;-;1;4;5;-;-;10
"150543 Ourilândia do Norte";-;-;-;3;1;-;-;-;1;1;16;13;35
"150548 Pacajá";2;1;5;4;-;-;-;1;1;2;1;124;141
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;-;-;-;1;1
"150550 Paragominas";-;1;-;-;-;-;-;1;-;-;-;1;3
"150553 Parauapebas";2;2;7;1;7;12;8;8;4;1;19;13;84
"150555 Pau D'Arco";5;-;-;1;1;2;-;1;-;-;-;-;10
"150563 Piçarra";-;-;-;-;-;1;-;-;-;-;1;-;2
"150570 Ponta de Pedras";-;-;-;-;-;1;-;-;-;-;-;-;1
"150600 Prainha";-;-;-;-;9;11;-;-;-;-;-;-;20
"150610 Primavera";-;-;-;-;-;-;-;-;1;-;-;-;1
"150611 Quatipuru";-;-;-;-;-;-;-;-;1;1;-;-;2
"150613 Redenção";3;5;11;20;8;7;4;3;2;-;1;50;114
"150616 Rio Maria";-;3;-;1;1;-;-;-;-;-;-;-;5
"150618 Rondon do Pará";-;-;1;-;-;-;-;-;-;-;-;1;2
"150619 Rurópolis";8;4;2;10;15;21;12;7;6;4;10;6;105
"150620 Salinópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"150630 Salvaterra";-;-;1;-;-;-;-;-;-;-;-;-;1
"150635 Santa Bárbara do Pará";-;-;-;-;1;-;-;-;-;-;-;1;2
"150650 Santa Izabel do Pará";-;-;-;-;-;-;-;-;1;-;2;3;6
"150655 Santa Luzia do Pará";1;5;29;69;34;7;-;-;-;-;-;-;145
"150660 Santa Maria do Pará";-;-;1;-;-;-;-;-;-;-;-;-;1
"150670 Santana do Araguaia";2;-;4;-;1;1;-;-;-;2;24;514;548
"150680 Santarém";4;-;4;7;15;4;-;8;8;4;10;33;97
"150700 Santo Antônio do Tauá";-;-;-;-;-;-;-;-;4;2;1;-;7
"150710 São Caetano de Odivelas";-;-;1;-;-;-;-;1;-;-;1;-;3
"150720 São Domingos do Capim";-;-;-;-;-;-;-;-;-;-;1;1;2
"150730 São Félix do Xingu";8;1;13;9;25;14;10;7;2;-;1;5;95
"150740 São Francisco do Pará";-;-;-;-;-;-;1;1;-;-;-;-;2
"150745 São Geraldo do Araguaia";-;-;26;12;-;-;-;-;-;1;2;3;44
"150746 São João da Ponta";-;-;-;-;-;-;-;-;1;-;-;-;1
"150747 São João de Pirabas";-;-;-;-;-;-;-;-;1;-;-;2;3
"150750 São João do Araguaia";16;10;27;41;26;41;21;24;10;11;25;20;272
"150775 Sapucaia";-;1;-;-;7;6;2;1;-;2;30;19;68
"150780 Senador José Porfírio";-;-;1;2;6;4;7;6;1;2;7;4;40
"150790 Soure";-;-;3;1;-;-;-;-;-;-;-;-;4
"150795 Tailândia";-;1;-;-;-;1;-;-;-;-;1;-;3
"150800 Tomé-Açu";-;-;-;-;-;-;-;-;-;-;-;1;1
"150803 Tracuateua";-;-;3;-;-;-;-;-;-;-;-;-;3
"150805 Trairão";4;10;39;37;10;25;14;3;1;1;1;-;145
"150808 Tucumã";-;-;-;-;-;-;-;-;-;-;1;9;10
"150810 Tucuruí";-;-;-;3;-;1;-;-;-;-;-;1;5
"150815 Uruará";-;-;-;-;1;1;1;-;-;-;-;2;5
"150830 Viseu";-;-;-;-;-;2;-;-;-;-;-;-;2
"150835 Vitória do Xingu";12;8;29;35;20;7;7;3;-;1;2;1;125
"150840 Xinguara";-;-;-;-;-;1;-;1;-;2;4;118;126
"160027 Laranjal do Jari";2;-;-;-;-;-;-;-;-;-;-;-;2
"160030 Macapá";27;17;19;23;20;13;12;36;45;20;8;11;251
