"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;3;1;-;1;1;6;3;3;1;5;6;31
"110037 Alto Alegre dos Parecis";2;7;-;-;-;-;-;-;-;-;-;6;15
"110040 Alto Paraíso";7;3;4;-;1;1;-;-;1;2;-;1;20
"110034 Alvorada D'Oeste";-;3;2;1;3;1;1;1;-;2;5;5;24
"110002 Ariquemes";10;18;11;8;2;2;1;1;3;3;1;6;66
"110045 Buritis";19;6;24;10;21;17;4;4;1;6;12;14;138
"110003 Cabixi";-;-;3;-;-;2;-;-;-;-;-;3;8
"110060 Cacaulândia";-;-;-;1;5;-;-;-;-;1;-;1;8
"110004 Cacoal";3;5;10;11;1;2;2;-;-;1;1;2;38
"110070 Campo Novo de Rondônia";3;4;-;1;-;-;-;3;3;22;161;21;218
"110080 Candeias do Jamari";1;1;2;-;-;2;1;-;-;-;1;2;10
"110005 Cerejeiras";-;3;-;-;1;2;-;1;2;1;1;-;11
"110092 Chupinguaia";1;2;3;2;1;1;3;-;2;-;-;4;19
"110006 Colorado do Oeste";7;6;7;2;2;1;1;-;-;2;-;2;30
"110007 Corumbiara";4;-;-;-;-;-;2;1;2;2;-;-;11
"110008 Costa Marques";44;41;18;13;-;-;-;-;-;-;-;1;117
"110094 Cujubim";-;-;-;-;-;-;-;1;-;-;-;-;1
"110009 Espigão D'Oeste";1;-;3;-;1;2;1;1;1;2;5;1;18
"110100 Governador Jorge Teixeira";-;2;-;-;-;-;-;-;-;-;-;-;2
"110010 Guajará-Mirim";1;-;3;-;10;5;-;1;1;2;-;-;23
"110110 Itapuã do Oeste";1;-;-;-;-;1;2;6;2;4;6;7;29
"110011 Jaru";5;-;12;9;16;2;3;-;1;-;-;-;48
"110012 Ji-Paraná";32;30;23;26;27;33;18;6;2;12;5;12;226
"110013 Machadinho D'Oeste";-;36;19;2;10;7;2;1;1;1;-;2;81
"110120 Ministro Andreazza";-;-;-;2;-;-;-;-;-;-;-;-;2
"110130 Mirante da Serra";5;4;-;-;-;-;-;-;-;-;-;-;9
"110140 Monte Negro";-;-;2;1;-;-;-;-;1;-;-;1;5
"110014 Nova Brasilândia D'Oeste";1;3;1;6;10;2;-;-;-;-;-;-;23
"110033 Nova Mamoré";-;-;2;1;-;-;-;-;-;-;-;-;3
"110143 Nova União";3;4;-;-;-;-;-;-;-;-;-;-;7
"110050 Novo Horizonte do Oeste";1;3;1;5;4;2;-;1;-;1;-;1;19
"110015 Ouro Preto do Oeste";6;1;10;5;5;7;2;3;-;4;1;3;47
"110145 Parecis";-;5;1;-;-;1;-;-;-;-;-;-;7
"110018 Pimenta Bueno";-;-;1;3;2;-;5;9;4;5;4;2;35
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;2;-;2
"110020 Porto Velho";6;11;45;39;32;26;17;8;14;29;61;19;307
"110025 Presidente Médici";2;1;3;2;2;2;-;2;3;3;1;3;24
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;3;-;1;-;1;5
"110026 Rio Crespo";1;1;-;-;-;-;-;-;-;-;-;-;2
"110028 Rolim de Moura";11;13;17;3;7;1;-;2;-;-;1;23;78
"110029 Santa Luzia D'Oeste";-;-;2;2;-;-;-;-;-;-;1;1;6
"110148 São Felipe D'Oeste";3;13;9;10;2;2;5;3;1;-;2;-;50
"110149 São Francisco do Guaporé";2;1;7;6;2;2;1;-;-;1;2;-;24
"110150 Seringueiras";4;13;6;-;-;-;-;1;1;1;-;-;26
"110160 Theobroma";2;-;-;-;2;-;2;-;1;1;-;1;9
"110170 Urupá";2;-;-;-;-;-;-;-;1;-;25;39;67
"110175 Vale do Anari";1;1;-;-;-;-;-;-;-;-;-;-;2
"110030 Vilhena";8;1;5;6;12;9;3;6;2;7;4;7;70
"120001 Acrelândia";2;-;-;-;-;-;-;-;-;-;-;-;2
"120005 Assis Brasil";1;4;4;2;-;4;2;-;-;-;2;-;19
"120010 Brasiléia";6;4;5;10;5;4;4;1;1;3;2;6;51
"120013 Bujari";-;-;-;-;-;1;-;-;-;-;-;-;1
"120017 Capixaba";-;6;-;1;-;1;-;-;-;-;-;-;8
"120020 Cruzeiro do Sul";182;7;79;166;363;400;576;1639;7055;7987;5550;3659;27663
"120025 Epitaciolândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"120030 Feijó";-;1;-;-;-;-;-;-;-;-;-;4;5
"120033 Mâncio Lima";1;1;4;2;-;1;1;6;1;7;13;8;45
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;-;-;1;-;1
"120038 Plácido de Castro";2;-;1;-;-;-;-;-;-;-;-;1;4
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;9;10;3;22
"120040 Rio Branco";121;102;107;110;65;20;28;29;30;42;29;69;752
"120042 Rodrigues Alves";-;-;-;2;-;-;-;1;4;8;21;15;51
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;1;-;-;-;-;1
"120050 Sena Madureira";12;1;2;-;1;-;-;2;-;1;-;-;19
"120045 Senador Guiomard";2;2;2;-;-;1;-;-;-;-;-;-;7
"120070 Xapuri";-;1;1;-;2;-;-;-;-;1;-;-;5
"130002 Alvarães";-;11;1;1;-;-;-;-;-;-;-;-;13
"130006 Amaturá";-;-;-;-;-;-;-;-;2;2;-;-;4
"130010 Anori";2;15;8;8;2;2;-;-;-;-;2;-;39
"130014 Apuí";-;-;-;1;-;-;-;-;-;-;-;-;1
"130020 Atalaia do Norte";6;-;-;-;-;-;-;-;-;-;-;-;6
"130040 Barcelos";-;-;-;-;-;-;-;5;4;-;-;-;9
"130060 Benjamin Constant";1;-;-;-;-;-;-;-;-;1;-;-;2
"130070 Boca do Acre";2;1;4;1;-;-;-;-;-;-;-;-;8
"130080 Borba";7;8;18;8;4;1;1;1;-;-;-;-;48
"130083 Caapiranga";-;-;1;-;-;-;-;-;-;-;-;-;1
"130110 Careiro";-;-;1;-;2;1;-;-;2;-;-;-;6
"130120 Coari";64;68;75;102;80;44;35;12;2;5;1;19;507
"130130 Codajás";2;-;4;-;-;-;-;-;-;-;-;-;6
"130165 Guajará";-;-;-;-;-;-;10;60;70;24;11;52;227
"130170 Humaitá";35;22;5;1;1;1;-;-;-;-;-;-;65
"130190 Itacoatiara";43;140;147;91;22;12;3;2;-;-;1;5;466
"130240 Lábrea";8;4;4;2;2;-;1;-;-;-;-;1;22
"130250 Manacapuru";3;1;1;1;-;1;1;-;-;2;-;3;13
"130260 Manaus";207;324;602;570;319;193;92;52;55;45;53;111;2623
"130270 Manicoré";-;-;-;-;-;-;-;-;-;-;1;2;3
"130280 Maraã";1;-;2;-;-;-;1;-;-;-;1;-;5
"130290 Maués";1;1;-;-;-;1;-;-;-;-;-;-;3
"130310 Nova Olinda do Norte";-;-;-;1;2;-;-;-;-;-;-;-;3
"130320 Novo Airão";-;-;2;3;-;-;-;-;-;-;-;-;5
"130330 Novo Aripuanã";17;3;3;2;1;-;1;6;-;-;11;13;57
"130340 Parintins";2;2;-;1;-;-;-;-;1;-;1;3;10
"130353 Presidente Figueiredo";-;-;-;-;-;13;12;1;-;-;-;-;26
"130370 Santo Antônio do Içá";-;-;-;1;-;-;-;-;-;-;-;-;1
"130380 São Gabriel da Cachoeira";109;18;61;22;39;7;31;44;15;8;21;10;385
"130400 Silves";-;-;-;1;-;-;-;-;-;-;-;-;1
"130406 Tabatinga";376;247;47;195;30;29;11;8;19;21;59;56;1098
"130410 Tapauá";-;-;-;-;-;1;-;-;-;-;-;-;1
"130420 Tefé";47;115;112;75;69;51;52;37;27;27;66;17;695
"140005 Alto Alegre";-;1;1;1;1;3;2;3;3;1;4;-;20
"140002 Amajari";-;-;1;-;-;-;-;-;-;-;3;8;12
"140010 Boa Vista";20;24;11;16;22;22;21;19;37;38;42;51;323
"140015 Bonfim";1;-;7;6;20;33;19;3;4;10;-;-;103
"140017 Cantá";-;-;-;-;-;1;-;1;-;-;-;-;2
"140020 Caracaraí";33;4;3;1;-;2;7;2;-;1;3;8;64
"140023 Caroebe";-;1;-;-;1;2;-;-;1;-;-;-;5
"140028 Iracema";-;-;1;-;7;13;19;34;29;8;1;-;112
"140030 Mucajaí";1;-;2;-;2;3;6;10;3;6;-;1;34
"140040 Normandia";-;-;-;-;-;1;-;-;1;1;-;-;3
"140045 Pacaraima";-;1;1;6;-;-;-;-;6;1;-;-;15
"140047 Rorainópolis";28;19;34;41;40;47;50;68;42;29;13;31;442
"140050 São João da Baliza";-;-;2;-;-;1;-;2;-;-;-;-;5
"150010 Abaetetuba";-;-;1;1;3;2;1;1;2;-;-;1;12
"150013 Abel Figueiredo";1;-;2;5;1;-;1;1;-;-;-;1;12
"150020 Acará";10;10;20;4;6;2;6;1;1;3;-;-;63
"150034 Água Azul do Norte";1;1;-;-;1;-;-;-;-;-;-;-;3
"150040 Alenquer";1;-;-;-;1;-;-;-;-;1;-;-;3
"150050 Almeirim";-;-;-;38;73;38;6;3;-;-;-;-;158
"150060 Altamira";15;21;32;69;18;23;13;13;18;9;6;25;262
"150080 Ananindeua";2;-;4;3;-;1;7;9;7;14;17;8;72
"150085 Anapu";41;124;31;20;15;6;5;-;1;-;-;3;246
"150090 Augusto Corrêa";-;1;-;1;1;-;-;-;-;-;-;-;3
"150095 Aurora do Pará";-;-;-;-;-;2;-;-;1;1;3;-;7
"150120 Baião";-;-;-;-;-;1;-;-;-;-;-;-;1
"150125 Bannach";-;3;15;4;2;1;-;-;-;-;-;-;25
"150130 Barcarena";-;1;2;-;-;-;1;-;-;1;-;1;6
"150140 Belém";29;12;22;36;50;45;50;47;52;56;47;47;493
"150150 Benevides";1;-;-;1;1;-;-;-;-;1;2;-;6
"150170 Bragança";1;3;-;1;-;1;-;-;2;-;1;-;9
"150172 Brasil Novo";2;9;31;15;11;3;-;-;1;-;-;2;74
"150175 Brejo Grande do Araguaia";3;3;6;2;1;1;-;-;-;-;1;1;18
"150178 Breu Branco";-;1;-;-;-;-;-;-;-;-;-;-;1
"150180 Breves";-;-;4;-;-;1;-;-;-;-;1;-;6
"150195 Cachoeira do Piriá";7;5;3;3;1;-;-;-;-;-;-;-;19
"150210 Cametá";1;3;1;-;1;3;3;1;1;1;2;1;18
"150215 Canaã dos Carajás";-;3;4;-;3;2;-;-;1;2;-;-;15
"150220 Capanema";-;2;1;4;4;1;-;-;-;-;-;-;12
"150230 Capitão Poço";-;-;-;1;-;-;-;-;1;2;1;-;5
"150240 Castanhal";1;2;-;2;1;-;1;-;-;6;5;2;20
"150260 Colares";-;-;-;-;-;-;-;-;1;-;-;-;1
"150270 Conceição do Araguaia";3;1;2;-;-;1;2;1;1;-;2;-;13
"150275 Concórdia do Pará";-;2;-;1;1;-;-;-;-;-;-;-;4
"150276 Cumaru do Norte";2;2;-;-;-;-;-;-;-;-;-;-;4
"150277 Curionópolis";3;6;6;2;1;-;-;-;-;-;-;-;18
"150290 Curuçá";-;2;2;1;-;1;1;1;-;1;1;1;11
"150293 Dom Eliseu";3;3;7;4;1;2;-;1;-;-;-;-;21
"150295 Eldorado do Carajás";9;-;2;1;3;2;3;-;-;-;-;-;20
"150309 Goianésia do Pará";-;1;-;1;-;-;-;-;-;-;-;-;2
"150310 Gurupá";-;-;-;-;-;-;-;1;2;27;7;-;37
"150320 Igarapé-Açu";1;-;-;-;1;1;1;-;-;-;-;-;4
"150340 Inhangapi";-;-;-;-;2;1;-;1;1;2;3;-;10
"150345 Ipixuna do Pará";1;6;3;9;-;-;-;-;-;-;-;-;19
"150350 Irituia";-;1;1;1;-;-;-;-;-;-;1;2;6
"150360 Itaituba";4;12;11;5;14;4;6;2;1;1;8;-;68
"150370 Itupiranga";6;8;10;5;1;2;-;-;-;-;-;1;33
"150380 Jacundá";-;-;-;-;1;-;-;-;1;-;-;-;2
"150390 Juruti";5;4;5;2;-;7;3;-;-;-;-;-;26
"150405 Mãe do Rio";-;-;-;-;-;-;-;-;1;-;-;-;1
"150420 Marabá";7;32;30;14;4;2;1;-;1;-;-;2;93
"150430 Maracanã";-;1;-;-;-;-;-;-;-;-;-;-;1
"150442 Marituba";12;8;10;8;14;4;7;1;6;19;10;4;103
"150445 Medicilândia";4;5;3;-;-;-;-;-;-;-;-;-;12
"150460 Mocajuba";-;-;1;-;-;-;-;-;-;-;-;-;1
"150470 Moju";-;-;-;-;-;1;-;-;-;-;1;-;2
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;3;13;10;2;2;30
"150480 Monte Alegre";-;-;-;1;-;-;1;-;-;-;-;-;2
"150490 Muaná";-;-;9;2;-;-;-;-;-;-;1;-;12
"150495 Nova Esperança do Piriá";1;-;-;2;-;-;-;-;-;-;-;-;3
"150497 Nova Ipixuna";1;1;4;2;1;2;-;-;-;-;1;2;14
"150503 Novo Progresso";2;2;23;12;11;5;-;2;3;5;2;1;68
"150506 Novo Repartimento";2;2;-;-;5;-;2;-;-;-;-;-;11
"150510 Óbidos";-;-;-;1;1;3;-;-;-;-;1;-;6
"150520 Oeiras do Pará";-;-;-;-;1;-;-;-;-;-;-;-;1
"150530 Oriximiná";62;30;43;25;28;4;11;9;-;3;1;5;221
"150540 Ourém";-;1;-;-;-;-;-;-;-;-;-;-;1
"150543 Ourilândia do Norte";7;2;2;1;-;1;1;-;-;-;1;1;16
"150548 Pacajá";44;45;43;27;3;3;2;-;2;1;4;4;178
"150550 Paragominas";-;2;-;3;2;-;-;-;-;-;-;-;7
"150553 Parauapebas";128;107;97;96;42;17;7;3;3;7;10;18;535
"150565 Placas";1;-;1;3;3;-;-;-;-;-;-;-;8
"150570 Ponta de Pedras";-;-;1;-;-;1;-;-;4;1;4;4;15
"150580 Portel";-;-;1;-;1;2;1;-;-;4;3;1;13
"150613 Redenção";1;1;2;3;-;-;1;-;-;-;-;-;8
"150616 Rio Maria";4;4;2;-;-;-;1;1;-;-;4;1;17
"150618 Rondon do Pará";2;2;2;1;2;-;1;-;-;-;-;-;10
"150619 Rurópolis";2;-;-;-;-;-;1;-;-;-;-;-;3
"150620 Salinópolis";1;3;-;1;-;1;-;2;-;1;-;1;10
"150630 Salvaterra";1;1;1;1;-;2;-;-;1;-;-;1;8
"150635 Santa Bárbara do Pará";1;-;3;4;-;-;-;-;-;-;-;-;8
"150650 Santa Izabel do Pará";1;2;3;5;-;4;-;1;-;-;-;-;16
"150655 Santa Luzia do Pará";-;-;1;-;1;-;-;-;-;1;-;-;3
"150658 Santa Maria das Barreiras";1;9;6;10;2;-;-;-;-;-;-;2;30
"150660 Santa Maria do Pará";-;-;-;-;1;-;-;-;-;-;-;-;1
"150670 Santana do Araguaia";-;2;2;1;1;1;-;-;-;-;-;-;7
"150680 Santarém";2;3;2;1;8;-;1;1;1;2;1;1;23
"150700 Santo Antônio do Tauá";-;-;-;1;-;-;-;-;-;-;-;-;1
"150710 São Caetano de Odivelas";-;-;-;-;-;-;-;-;1;-;-;-;1
"150715 São Domingos do Araguaia";4;2;-;11;13;2;2;-;-;-;-;-;34
"150720 São Domingos do Capim";-;2;8;-;-;4;-;1;-;-;-;1;16
"150730 São Félix do Xingu";7;17;72;38;17;11;12;2;-;5;1;-;182
"150740 São Francisco do Pará";-;-;12;3;-;-;-;-;-;-;-;1;16
"150745 São Geraldo do Araguaia";2;5;3;19;16;1;3;-;-;1;4;1;55
"150746 São João da Ponta";-;-;1;-;-;1;1;-;2;7;9;12;33
"150747 São João de Pirabas";-;-;-;1;-;-;-;-;-;-;-;-;1
"150750 São João do Araguaia";1;-;2;2;1;-;-;-;-;1;1;-;8
"150760 São Miguel do Guamá";-;-;1;-;1;-;-;-;-;-;-;-;2
"150770 São Sebastião da Boa Vista";-;1;-;-;-;1;1;-;-;-;-;-;3
"150780 Senador José Porfírio";70;77;47;26;8;2;11;31;55;82;29;76;514
"150790 Soure";-;1;-;1;-;-;-;-;-;-;2;1;5
"150795 Tailândia";-;1;-;-;1;-;6;2;5;6;3;8;32
"150796 Terra Alta";-;-;-;-;-;-;-;1;-;-;-;-;1
"150797 Terra Santa";-;1;1;-;2;1;-;-;-;-;-;-;5
"150800 Tomé-Açu";-;-;1;1;7;-;6;10;1;3;2;-;31
"150803 Tracuateua";6;-;7;1;-;1;1;-;-;2;-;-;18
"150808 Tucumã";1;1;-;2;3;2;2;1;4;-;10;4;30
"150810 Tucuruí";2;6;4;1;6;-;1;1;-;-;-;-;21
"150812 Ulianópolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"150815 Uruará";-;-;3;1;44;16;2;-;9;1;2;1;79
"150820 Vigia";-;-;-;2;4;-;-;-;-;-;-;-;6
"150830 Viseu";1;-;-;-;-;-;-;-;-;-;-;-;1
"150835 Vitória do Xingu";-;9;9;36;21;6;-;2;4;3;3;1;94
"150840 Xinguara";4;5;1;4;-;-;-;-;-;-;-;1;15
"160010 Amapá";-;-;-;-;-;-;-;-;-;-;1;-;1
"160020 Calçoene";2;2;2;-;-;-;2;-;9;18;32;9;76
"160023 Ferreira Gomes";4;-;-;1;7;-;-;-;-;-;-;-;12
"160027 Laranjal do Jari";-;1;16;204;447;179;10;5;2;1;-;1;866
"160030 Macapá";15;14;15;11;36;18;28;21;38;39;50;34;319
"160040 Mazagão";2;-;-;-;-;-;-;-;-;3;5;12;22
"160050 Oiapoque";10;6;1;-;9;1;4;2;61;345;154;21;614
"160015 Pedra Branca do Amapari";1;-;-;-;-;-;-;1;5;36;66;25;134
"160053 Porto Grande";-;1;3;2;3;32;61;13;-;-;-;2;117
"160060 Santana";1;1;2;1;-;1;-;3;2;1;-;6;18
"160005 Serra do Navio";-;2;1;2;3;-;-;3;-;-;1;-;12
