"municipio";"populacao"
"230100 Aquiraz";76821
"230110 Aracati";72319
"230120 Aracoiaba";26122
"230125 Ararendá";10811
"230130 Araripe";21318
"230140 Aratuba";12078
"230150 Arneiroz";7820
"230160 Assaré";23101
"230170 Aurora";24884
"230180 Baixio";6209
"230185 Banabuiú";17893
"230190 Barbalha";58462
"230195 Barreira";21666
"230200 Barro";22274
"230205 Barroquinha";14878
"230210 Baturité";34755
"230220 Beberibe";51617
"230230 Bela Cruz";31905
"230240 Boa Viagem";53916
"230250 Brejo Santo";47583
"230260 Camocim";62379
"230270 Campos Sales";27194
"230280 Canindé";75715
"230290 Capistrano";17496
"230300 Caridade";21319
"230310 Cariré";18395
"230320 Caririaçu";26855
"230330 Cariús";18694
"230340 Carnaubal";17195
"230350 Cascavel";69213
"230360 Catarina";19792
"230365 Catunda";10166
"230370 Caucaia";341591
"230380 Cedro";25410
"230390 Chaval";12958
"230393 Choró";13292
"230395 Chorozinho";20202
"230400 Coreaú";22599
"230410 Crateús";74636
"230420 Crato";127403
"230423 Croatá";17697
"230425 Cruz";24054
"230426 Deputado Irapuan Pinheiro";9432
"230427 Ererê";7053
"230428 Eusébio";49883
"230430 Farias Brito";19766
"230435 Forquilha";23002
"230440 Fortaleza";2579650
"230445 Fortim";15701
"230450 Frecheirinha";13748
"230460 General Sampaio";7225
"230465 Graça";14359
"230470 Granja";53635
"230480 Granjeiro";5003
"230490 Groaíras";10666
"230495 Guaiúba";24895
"230500 Guaraciaba do Norte";39905
"230510 Guaramiranga";5511
"230520 Hidrolândia";19585
"230523 Horizonte";61144
"230526 Ibaretama";13268
"230530 Ibiapina";24553
"230533 Ibicuitinga";11986
"230535 Icapuí";19278
"230540 Icó";67268
"230550 Iguatu";99509
"230560 Independência";26130
"230565 Ipaporanga";11584
"230570 Ipaumirim";12345
"230580 Ipu";41484
"230590 Ipueiras";38434
"230600 Iracema";14153
"230610 Irauçuba";23382
"230620 Itaiçaba";7623
"230625 Itaitinga";36191
"230630 Itapagé";50636
"230640 Itapipoca";123223
"230650 Itapiúna";19669
"230655 Itarema";39797
"230660 Itatira";20673
"230670 Jaguaretama";18238
"230680 Jaguaribara";10930
"230690 Jaguaribe";34921
"230700 Jaguaruana";33032
"230710 Jardim";27139
"230720 Jati";8008
"230725 Jijoca de Jericoacoara";18404
"230730 Juazeiro do Norte";263516
"230740 Jucás";24528
"230750 Lavras da Mangabeira";31595
"230760 Limoeiro do Norte";57721
"230763 Madalena";18792
"230765 Maracanaú";219718
"230770 Maranguape";121869
"230780 Marco";26148
"230790 Martinópole";10777
"230800 Massapê";37147
"230810 Mauriti";46887
"230820 Meruoca";14394
"230830 Milagres";27771
"230835 Milhã";13225
"230837 Miraíma";13431
"230840 Missão Velha";34941
"230850 Mombaça";43481
"230860 Monsenhor Tabosa";17155
"230870 Morada Nova";62681
"230880 Moraújo";8437
"230890 Morrinhos";21753
"230900 Mucambo";14474
"230910 Mulungu";10208
"230920 Nova Olinda";14952
"230930 Nova Russas";31905
"230940 Novo Oriente";28261
"230945 Ocara";25031
"230950 Orós";21649
"230960 Pacajus";67088
"230970 Pacatuba";77592
"230980 Pacoti";12125
"230990 Pacujá";6446
"231000 Palhano";9195
"231010 Palmácia";12713
"231020 Paracuru";33891
"231025 Paraipaba";31459
"231030 Parambu";31862
"231040 Paramoti";12099
"231050 Pedra Branca";42991
"231060 Penaforte";8735
"231070 Pentecoste";36979
"231080 Pereiro";16177
"231085 Pindoretama";19522
"231090 Piquet Carneiro";16299
"231095 Pires Ferreira";10681
"231100 Poranga";12280
"231110 Porteiras";15197
"231120 Potengi";10728
"231123 Potiretama";6324
"231126 Quiterianópolis";20658
"231130 Quixadá";84648
"231135 Quixelô";16340
"231140 Quixeramobim";77467
"231150 Quixeré";21400
"231160 Redenção";28564
"231170 Reriutaba";19052
"231180 Russas";74623
"231190 Saboeiro";15983
"231195 Salitre";16131
"231220 Santa Quitéria";43662
"231200 Santana do Acaraú";31400
"231210 Santana do Cariri";17631
"231230 São Benedito";46713
"231240 São Gonçalo do Amarante";46092
"231250 São João do Jaguaribe";7878
"231260 São Luís do Curu";12773
"231270 Senador Pompeu";25702
"231280 Senador Sá";7268
"231290 Sobral";199709
"231300 Solonópole";18155
"231310 Tabuleiro do Norte";31276
"231320 Tamboril";26391
"231325 Tarrafas";8693
"231330 Tauá";57805
"231335 Tejuçuoca";18230
"231340 Tianguá";72879
"231350 Trairi";53979
"231355 Tururu";15439
"231360 Ubajara";33467
"231370 Umari";7713
"231375 Umirim";19430
"231380 Uruburetama";20869
"231390 Uruoca";13449
"231395 Varjota";18156
"231400 Várzea Alegre";39784
"231410 Viçosa do Ceará";58183
"240010 Acari";11216
"240020 Açu";56088
"240030 Afonso Bezerra";11065
"240040 Água Nova";3142
"240050 Alexandria";13705
"240060 Almino Afonso";4868
"240070 Alto do Rodrigues";13481
"240080 Angicos";11766
"240090 Antônio Martins";7102
"240100 Apodi";35687
"240110 Areia Branca";26759
"240120 Arês";13719
"240130 Augusto Severo";9571
"240140 Baía Formosa";9000
"240145 Baraúna";26412
"240150 Barcelona";4021
"240160 Bento Fernandes";5353
"240165 Bodó";2362
"240170 Bom Jesus";9911
"240180 Brejinho";12236
"240185 Caiçara do Norte";6489
"240190 Caiçara do Rio do Vento";3522
"240200 Caicó";65895
"240210 Campo Redondo";10830
"240220 Canguaretama";32844
"240230 Caraúbas";20238
"240240 Carnaúba dos Dantas";7866
"240250 Carnaubais";10194
"240260 Ceará-Mirim";71445
"240270 Cerro Corá";11171
"240280 Coronel Ezequiel";5518
"240290 Coronel João Pessoa";4895
"240300 Cruzeta";8079
"240310 Currais Novos";44158
"240320 Doutor Severiano";7096
"240330 Encanto";5483
"240340 Equador";5996
"240350 Espírito Santo";10617
"240360 Extremoz";26721
"240370 Felipe Guerra";5920
"240375 Fernando Pedroza";2981
"240380 Florânia";9872
"240390 Francisco Dantas";2886
"240400 Frutuoso Gomes";4208
"240410 Galinhos";2475
"240420 Goianinha";24530
"240430 Governador Dix-Sept Rosado";12831
"240440 Grossos";9965
"240450 Guamaré";14057
"240460 Ielmo Marinho";13056
"240470 Ipanguaçu";14780
"240480 Ipueira";2178
"240485 Itajá";7301
"240490 Itaú";5777
"240500 Jaçanã";8579
"240510 Jandaíra";6801
"240520 Janduís";5375
"240530 Januário Cicco";9689
"240540 Japi";5374
"240550 Jardim de Angicos";2641
"240560 Jardim de Piranhas";14285
"240570 Jardim do Seridó";12392
"240580 João Câmara";33880
"240590 João Dias";2657
"240600 José da Penha";5978
"240610 Jucurutu";18187
"240615 Jundiá";3771
"240620 Lagoa d'Anta";6553
"240630 Lagoa de Pedras";7331
"240640 Lagoa de Velhos";2730
"240650 Lagoa Nova";14906
"240660 Lagoa Salgada";7971
"240670 Lajes";10921
"240680 Lajes Pintadas";4736
"240690 Lucrécia";3845
"240700 Luís Gomes";9961
"240710 Macaíba";75380
"240720 Macau";30627
"240725 Major Sales";3803
"240730 Marcelino Vieira";8404
"240740 Martins";8553
"240750 Maxaranguape";11459
"240760 Messias Targino";4430
"240770 Montanhas";11478
"240780 Monte Alegre";21796
"240790 Monte das Gameleiras";2217
"240800 Mossoró";280322
"240810 Natal";850648
"240820 Nísia Floresta";25836
"240830 Nova Cruz";36779
"240840 Olho-d'Água do Borges";4330
"240850 Ouro Branco";4809
"240860 Paraná";4140
"240870 Paraú";3865
"240880 Parazinho";5050
"240890 Parelhas";21121
"240325 Parnamirim";232157
"240910 Passa e Fica";12240
"240920 Passagem";3020
"240930 Patu";12476
"240940 Pau dos Ferros";29306
"240950 Pedra Grande";3433
"240960 Pedra Preta";2561
"240970 Pedro Avelino";7049
"240980 Pedro Velho";14606
"240990 Pendências";14379
"241000 Pilões";3673
"241010 Poço Branco";14795
"241020 Portalegre";7662
"241025 Porto do Mangue";5991
"241040 Pureza";9079
"241050 Rafael Fernandes";4937
"241060 Rafael Godeiro";3164
"241070 Riacho da Cruz";3395
"241080 Riacho de Santana";4229
"241090 Riachuelo";7643
"240895 Rio do Fogo";10546
"241100 Rodolfo Fernandes";4494
"241110 Ruy Barbosa";3641
"241120 Santa Cruz";38024
"240933 Santa Maria";5184
"241140 Santana do Matos";12903
"241142 Santana do Seridó";2628
"241150 Santo Antônio";23373
"241160 São Bento do Norte";2906
"241170 São Bento do Trairí";4204
"241180 São Fernando";3527
"241190 São Francisco do Oeste";4085
"241200 São Gonçalo do Amarante";95698
"241210 São João do Sabugi";6119
"241220 São José de Mipibu";42121
"241230 São José do Campestre";12738
"241240 São José do Seridó";4469
"241250 São Miguel";22800
"241255 São Miguel do Gostoso";9859
"241260 São Paulo do Potengi";16838
"241270 São Pedro";6190
"241280 São Rafael";8252
"241290 São Tomé";11065
"241300 São Vicente";6284
"241310 Senador Elói de Souza";5867
"241320 Senador Georgino Avelino";4210
"241030 Serra Caiada";9732
"241330 Serra de São Bento";5822
"241335 Serra do Mel";11175
"241340 Serra Negra do Norte";8007
"241350 Serrinha";6499
"241355 Serrinha dos Pintos";4716
"241360 Severiano Melo";4295
"241370 Sítio Novo";5313
"241380 Taboleiro Grande";2460
"241390 Taipu";12185
"241400 Tangará";14977
"241410 Tenente Ananias";10420
"241415 Tenente Laurentino Cruz";5597
"241105 Tibau";3925
"241420 Tibau do Sul";12814
"241430 Timbaúba dos Batistas";2378
"241440 Touros";32144
"241445 Triunfo Potiguar";3349
"241450 Umarizal";10742
"241460 Upanema";13920
"241470 Várzea";5422
"241475 Venha-Ver";4032
"241480 Vera Cruz";11663
"241490 Viçosa";1684
"241500 Vila Flor";3045
"250010 Água Branca";9869
"250020 Aguiar";5686
"250030 Alagoa Grande";28786
"250040 Alagoa Nova";20482
"250050 Alagoinha";14127
"250053 Alcantil";5400
"250057 Algodão de Jandaíra";2512
"250060 Alhandra";18871
"250073 Amparo";2170
"250077 Aparecida";7995
"250080 Araçagi";17323
"250090 Arara";13099
"250100 Araruna";19544
"250110 Areia";23666
"250115 Areia de Baraúnas";2188
"250120 Areial";6849
"250130 Aroeiras";19339
"250135 Assunção";3792
"250140 Baía da Traição";8466
"250150 Bananeiras";21572
"250153 Baraúna";4527
"250160 Barra de Santa Rosa";14806
"250157 Barra de Santana";8409
"250170 Barra de São Miguel";5881
"250180 Bayeux";95229
"250190 Belém";17531
"250200 Belém do Brejo do Cruz";7307
"250205 Bernardino Batista";3321
"250210 Boa Ventura";5673
"250215 Boa Vista";6621
"250220 Bom Jesus";2492
"250230 Bom Sucesso";5072
"250240 Bonito de Santa Fé";11378
"250250 Boqueirão";17471
"250270 Borborema";5139
"250280 Brejo do Cruz";13696
"250290 Brejo dos Santos";6370
"250300 Caaporã";21179
"250310 Cabaceiras";5355
"250320 Cabedelo";62465
"250330 Cachoeira dos Índios";9933
"250340 Cacimba de Areia";3612
"250350 Cacimba de Dentro";17228
"250355 Cacimbas";7036
"250360 Caiçara";7249
"250370 Cajazeiras";60483
"250375 Cajazeirinhas";3132
"250380 Caldas Brandão";5852
"250390 Camalaú";5921
"250400 Campina Grande";399122
"250403 Capim";6028
"250407 Caraúbas";4049
"250410 Carrapateira";2516
"250415 Casserengue";7305
"250420 Catingueira";4917
"250430 Catolé do Rocha";29839
"250435 Caturité";4731
"250440 Conceição";18855
"250450 Condado";6633
"250460 Conde";22934
"250470 Congo";4782
"250480 Coremas";15462
"250485 Coxixola";1851
"250490 Cruz do Espírito Santo";16592
"250500 Cubati";7619
"250510 Cuité";20359
"250523 Cuité de Mamanguape";6335
"250520 Cuitegi";6942
"250527 Curral de Cima";5276
"250530 Curral Velho";2539
"250535 Damião";5127
"250540 Desterro";8207
"250560 Diamante";6670
"250570 Dona Inês";10657
"250580 Duas Estradas";3665
"250590 Emas";3437
"250600 Esperança";32027
"250610 Fagundes";11444
"250620 Frei Martinho";2990
"250625 Gado Bravo";8379
"250630 Guarabira";57394
"250640 Gurinhém";14139
"250650 Gurjão";3302
"250660 Ibiara";6064
"250260 Igaracy";6178
"250670 Imaculada";11671
"250680 Ingá";17891
"250690 Itabaiana";24774
"250700 Itaporanga";23999
"250710 Itapororoca";17852
"250720 Itatuba";10684
"250730 Jacaraú";14339
"250740 Jericó";7707
"250750 João Pessoa";765603
"251365 Joca Claudino";2623
"250760 Juarez Távora";7735
"250770 Juazeirinho";17523
"250780 Junco do Seridó";6921
"250790 Juripiranga";10563
"250800 Juru";9960
"250810 Lagoa";4731
"250820 Lagoa de Dentro";7631
"250830 Lagoa Seca";26920
"250840 Lastro";2840
"250850 Livramento";7211
"250855 Logradouro";4142
"250860 Lucena";12398
"250870 Mãe d'Água";4063
"250880 Malta";5795
"250890 Mamanguape";43580
"250900 Manaíra";10872
"250905 Marcação";8071
"250910 Mari";21689
"250915 Marizópolis";6430
"250920 Massaranduba";13511
"250930 Mataraca";7897
"250933 Matinhas";4423
"250937 Mato Grosso";2815
"250939 Maturéia";6256
"250940 Mogeiro";13404
"250950 Montadas";5315
"250960 Monte Horebe";4682
"250970 Monteiro";32148
"250980 Mulungu";9749
"250990 Natuba";10470
"251000 Nazarezinho";7379
"251010 Nova Floresta";10701
"251020 Nova Olinda";6096
"251030 Nova Palmeira";4634
"251040 Olho d'Água";6856
"251050 Olivedos";3785
"251060 Ouro Velho";3007
"251065 Parari";1837
"251070 Passagem";2333
"251080 Patos";104602
"251090 Paulista";12180
"251100 Pedra Branca";3797
"251110 Pedra Lavrada";7560
"251120 Pedras de Fogo";28074
"251272 Pedro Régis";5961
"251130 Piancó";15889
"251140 Picuí";18617
"251150 Pilar";11609
"251160 Pilões";6939
"251170 Pilõezinhos";5080
"251180 Pirpirituba";10549
"251190 Pitimbu";17996
"251200 Pocinhos";17828
"251203 Poço Dantas";3920
"251207 Poço de José de Moura";4154
"251210 Pombal";32795
"251220 Prata";4062
"251230 Princesa Isabel";22299
"251240 Puxinanã";13367
"251250 Queimadas";42875
"251260 Quixabá";1820
"251270 Remígio";18704
"251274 Riachão";3426
"251275 Riachão do Bacamarte";4416
"251276 Riachão do Poço";4349
"251278 Riacho de Santo Antônio";1815
"251280 Riacho dos Cavalos";8450
"251290 Rio Tinto";23965
"251300 Salgadinho";3652
"251310 Salgado de São Félix";12184
"251315 Santa Cecília";6640
"251320 Santa Cruz";6593
"251330 Santa Helena";5979
"251335 Santa Inês";3603
"251340 Santa Luzia";15155
"251370 Santa Rita";132691
"251380 Santa Teresinha";4633
"251350 Santana de Mangueira";5327
"251360 Santana dos Garrotes";7261
"251385 Santo André";2581
"251392 São Bentinho";4341
"251390 São Bento";32433
"251396 São Domingos";2952
"251394 São Domingos do Cariri";2538
"251398 São Francisco";3432
"251400 São João do Cariri";4275
"250070 São João do Rio do Peixe";18072
"251410 São João do Tigre";4459
"251420 São José da Lagoa Tapada";7653
"251430 São José de Caiana";6271
"251440 São José de Espinharas";4812
"251450 São José de Piranhas";19847
"251455 São José de Princesa";4276
"251460 São José do Bonfim";3399
"251465 São José do Brejo do Cruz";1750
"251470 São José do Sabugi";4109
"251480 São José dos Cordeiros";3683
"251445 São José dos Ramos";5750
"251490 São Mamede";7832
"251500 São Miguel de Taipu";7154
"251510 São Sebastião de Lagoa de Roça";11325
"251520 São Sebastião do Umbuzeiro";3373
"251540 São Vicente do Seridó";10402
"251530 Sapé";51715
"251550 Serra Branca";13421
"251560 Serra da Raiz";3236
"251570 Serra Grande";2871
"251580 Serra Redonda";7144
"251590 Serraria";6259
"251593 Sertãozinho";4694
"251597 Sobrado";7621
"251600 Solânea";27329
"251610 Soledade";14414
"251615 Sossêgo";3358
"251620 Sousa";68015
"251630 Sumé";16630
"251640 Tacima";10618
"251650 Taperoá";15043
"251660 Tavares";14562
"251670 Teixeira";14717
"251675 Tenório";2942
"251680 Triunfo";9412
"251690 Uiraúna";14947
"251700 Umbuzeiro";9885
"251710 Várzea";2653
"251720 Vieirópolis";5223
"250550 Vista Serrana";3665
"251740 Zabelê";2164
"260005 Abreu e Lima";98141
"260010 Afogados da Ingazeira";36516
"260020 Afrânio";18736
"260030 Agrestina";23965
"260040 Água Preta";35178
"260050 Águas Belas";42197
"260060 Alagoinha";14219
"260070 Aliança";38331
"260080 Altinho";22908
"260090 Amaraji";22621
"260100 Angelim";10760
"260105 Araçoiaba";19458
"260110 Araripina";82134
"260120 Arcoverde";71859
"260130 Barra de Guabiraba";13743
"260140 Barreiros";42122
"260150 Belém de Maria";11823
"260160 Belém do São Francisco";20726
"260170 Belo Jardim";75165
"260180 Betânia";12479
"260190 Bezerros";60377
"260200 Bodocó";36956
"260210 Bom Conselho";47461
"260220 Bom Jardim";39635
"260230 Bonito";38224
"260240 Brejão";9024
"260250 Brejinho";7482
"260260 Brejo da Madre de Deus";48269
"260270 Buenos Aires";12976
"260280 Buíque";55604
"260290 Cabo de Santo Agostinho";197335
"260300 Cabrobó";32779
"260310 Cachoeirinha";19764
"260320 Caetés";27893
"260330 Calçado";11235
"260340 Calumbi";5766
"260345 Camaragibe";152345
"260350 Camocim de São Félix";18072
"260360 Camutanga";8445
"260370 Canhotinho";24961
"260380 Capoeiras";20048
"260390 Carnaíba";19252
"260392 Carnaubeira da Penha";12452
"260400 Carpina";79781
"260410 Caruaru";339805
"260415 Casinhas";14201
"260420 Catende";40594
"260430 Cedro";11380
"260440 Chã de Alegria";13017
"260450 Chã Grande";21099
"260460 Condado";25558
"260470 Correntes";17894
"260480 Cortês";12667
"260490 Cumaru";14565
"260500 Cupira";23773
"260510 Custódia";35758
"260515 Dormentes";18032
"260520 Escada";66732
"260530 Exu";32124
"260540 Feira Nova";21538
"260545 Fernando de Noronha";2858
"260550 Ferreiros";11883
"260560 Flores";22657
"260570 Floresta";31280
"260580 Frei Miguelinho";15001
"260590 Gameleira";29687
"260600 Garanhuns";135747
"260610 Glória do Goitá";30153
"260620 Goiana";78236
"260630 Granito";7228
"260640 Gravatá";80874
"260650 Iati";18972
"260660 Ibimirim";28328
"260670 Ibirajuba";7733
"260680 Igarassu";110099
"260690 Iguaracy";12132
"260760 Ilha de Itamaracá";24140
"260700 Inajá";21206
"260710 Ingazeira";4577
"260720 Ipojuca";88699
"260730 Ipubi";29140
"260740 Itacuruba";4673
"260750 Itaíba";26557
"260765 Itambé";36323
"260770 Itapetim";13938
"260775 Itapissuma";25374
"260780 Itaquitinga";16694
"260790 Jaboatão dos Guararapes";678897
"260795 Jaqueira";11717
"260800 Jataúba";16747
"260805 Jatobá";14517
"260810 João Alfredo";31813
"260820 Joaquim Nabuco";16087
"260825 Jucati";11109
"260830 Jupi";14390
"260840 Jurema";15104
"260850 Lagoa de Itaenga";21270
"260845 Lagoa do Carro";17144
"260860 Lagoa do Ouro";12745
"260870 Lagoa dos Gatos";16147
"260875 Lagoa Grande";24334
"260880 Lajedo";38749
"260890 Limoeiro";56511
"260900 Macaparana";24886
"260910 Machados";14896
"260915 Manari";19682
"260920 Maraial";11986
"260930 Mirandiba";14979
"261430 Moreilândia";11272
"260940 Moreno";60170
"260950 Nazaré da Mata";31945
"260960 Olinda";389235
"260970 Orobó";23624
"260980 Orocó";14166
"260990 Ouricuri";66850
"261000 Palmares";61967
"261010 Palmeirina";8172
"261020 Panelas";26566
"261030 Paranatama";11302
"261040 Parnamirim";21525
"261050 Passira";29130
"261060 Paudalho";54342
"261070 Paulista";318442
"261080 Pedra";22359
"261090 Pesqueira";65652
"261100 Petrolândia";34739
"261110 Petrolina";322645
"261120 Poção";11288
"261130 Pombos";26798
"261140 Primavera";14283
"261150 Quipapá";25330
"261153 Quixaba";6859
"261160 Recife";1606112
"261170 Riacho das Almas";20031
"261180 Ribeirão";46383
"261190 Rio Formoso";23059
"261200 Sairé";10792
"261210 Salgadinho";10157
"261220 Salgueiro";59294
"261230 Saloá";15745
"261240 Sanharó";24272
"261245 Santa Cruz";14583
"261247 Santa Cruz da Baixa Verde";12290
"261250 Santa Cruz do Capibaribe";97896
"261255 Santa Filomena";14041
"261260 Santa Maria da Boa Vista";41065
"261270 Santa Maria do Cambucá";13691
"261280 Santa Terezinha";11558
"261290 São Benedito do Sul";15001
"261300 São Bento do Una";56750
"261310 São Caitano";36614
"261320 São João";22253
"261330 São Joaquim do Monte";21141
"261340 São José da Coroa Grande";19820
"261350 São José do Belmonte";33639
"261360 São José do Egito";33087
"261370 São Lourenço da Mata";108876
"261380 São Vicente Ferrer";17677
"261390 Serra Talhada";83458
"261400 Serrita";19006
"261410 Sertânia";35175
"261420 Sirinhaém";43326
"261440 Solidão";5936
"261450 Surubim";62232
"261460 Tabira";27725
"261470 Tacaimbó";12955
"261480 Tacaratu";24020
"261485 Tamandaré";22187
"261500 Taquaritinga do Norte";26970
"261510 Terezinha";7018
"261520 Terra Nova";9529
"261530 Timbaúba";54148
"261540 Toritama";40375
"261550 Tracunhaém";13544
"261560 Trindade";29015
"261570 Triunfo";15309
"261580 Tupanatinga";26037
"261590 Tuparetama";8194
"261600 Venturosa";17564
"261610 Verdejante";9435
"261618 Vertente do Lério";7858
"261620 Vertentes";19588
"261630 Vicência";31987
"261640 Vitória de Santo Antão";134530
"261650 Xexéu";14558
"270010 Água Branca";20019
"270020 Anadia";17644
"270030 Arapiraca";225029
"270040 Atalaia";46254
"270050 Barra de Santo Antônio";15225
"270060 Barra de São Miguel";8028
"270070 Batalha";17682
"270080 Belém";4656
"270090 Belo Monte";6666
"270100 Boca da Mata";26896
"270110 Branquinha";10673
"270120 Cacimbinhas";10697
"270130 Cajueiro";20914
"270135 Campestre";6843
"270140 Campo Alegre";54615
"270150 Campo Grande";9511
"270160 Canapi";17740
"270170 Capela";17434
"270180 Carneiros";8999
"270190 Chã Preta";7310
"270200 Coité do Nóia";10951
"270210 Colônia Leopoldina";21076
"270220 Coqueiro Seco";5749
"270230 Coruripe";55059
"270235 Craíbas";23760
"270240 Delmiro Gouveia";50743
"270250 Dois Riachos";11117
"270255 Estrela de Alagoas";17945
"270260 Feira Grande";22096
"270270 Feliz Deserto";4627
"270280 Flexeiras";12703
"270290 Girau do Ponciano";39257
"270300 Ibateguara";15563
"270310 Igaci";25721
"270320 Igreja Nova";24047
"270330 Inhapi";18349
"270340 Jacaré dos Homens";5430
"270350 Jacuípe";7096
"270360 Japaratinga";8143
"270370 Jaramataia";5819
"270375 Jequiá da Praia";11801
"270380 Joaquim Gomes";23539
"270390 Jundiá";4251
"270400 Junqueiro";24752
"270410 Lagoa da Canoa";18271
"270420 Limoeiro de Anadia";27930
"270430 Maceió";985774
"270440 Major Isidoro";19492
"270490 Mar Vermelho";3616
"270450 Maragogi";31009
"270460 Maravilha";9984
"270470 Marechal Deodoro";49420
"270480 Maribondo";13635
"270500 Mata Grande";25267
"270510 Matriz de Camaragibe";24682
"270520 Messias";16949
"270530 Minador do Negrão";5367
"270540 Monteirópolis";7129
"270550 Murici";27733
"270560 Novo Lino";12308
"270570 Olho d'Água das Flores";21345
"270580 Olho d'Água do Casado";9021
"270590 Olho d'Água Grande";5095
"270600 Olivença";11450
"270610 Ouro Branco";11295
"270620 Palestina";4880
"270630 Palmeira dos Índios";72604
"270640 Pão de Açúcar";24639
"270642 Pariconha";10502
"270644 Paripueira";12368
"270650 Passo de Camaragibe";15180
"270660 Paulo Jacinto";7585
"270670 Penedo";62838
"270680 Piaçabuçu";17718
"270690 Pilar";34590
"270700 Pindoba";2922
"270710 Piranhas";24291
"270720 Poço das Trincheiras";14226
"270730 Porto Calvo";26730
"270740 Porto de Pedras";8226
"270750 Porto Real do Colégio";19825
"270760 Quebrangulo";11535
"270770 Rio Largo";73701
"270780 Roteiro";6743
"270790 Santa Luzia do Norte";7172
"270800 Santana do Ipanema";46735
"270810 Santana do Mundaú";11012
"270820 São Brás";6919
"270830 São José da Laje";23566
"270840 São José da Tapera";31425
"270850 São Luís do Quitunde";33847
"270860 São Miguel dos Campos";58427
"270870 São Miguel dos Milagres";7631
"270880 São Sebastião";33440
"270890 Satuba";13263
"270895 Senador Rui Palmeira";13530
"270900 Tanque d'Arca";6286
"270910 Taquarana";19505
"270915 Teotônio Vilela";43116
"270920 Traipu";27146
"270930 União dos Palmares";64684
"270940 Viçosa";25938
"280010 Amparo de São Francisco";2344
"280020 Aquidabã";20955
"280030 Aracaju";616279
"280040 Arauá";10620
"280050 Areia Branca";17802
"280060 Barra dos Coqueiros";27712
"280067 Boquim";26387
"280070 Brejo Grande";8082
"280100 Campo do Brito";17545
"280110 Canhoba";4022
"280120 Canindé de São Francisco";27302
"280130 Capela";32658
"280140 Carira";21271
"280150 Carmópolis";15071
"280160 Cedro de São João";5813
"280170 Cristinápolis";17071
"280190 Cumbe";3933
"280200 Divina Pastora";4741
"280210 Estância";67265
"280220 Feira Nova";5499
"280230 Frei Paulo";14725
"280240 Gararu";11616
"280250 General Maynard";3150
"280260 Gracho Cardoso";5783
"280270 Ilha das Flores";8515
"280280 Indiaroba";16966
"280290 Itabaiana";91739
"280300 Itabaianinha";40696
"280310 Itabi";4994
"280320 Itaporanga d'Ajuda";32533
"280330 Japaratuba";17898
"280340 Japoatã";13466
"280350 Lagarto";100212
"280360 Laranjeiras";28518
"280370 Macambira";6705
"280380 Malhada dos Bois";3595
"280390 Malhador";12432
"280400 Maruim";16912
"280410 Moita Bonita";11270
"280420 Monte Alegre de Sergipe";14293
"280430 Muribeca";7550
"280440 Neópolis";18799
"280445 Nossa Senhora Aparecida";8730
"280450 Nossa Senhora da Glória";34856
"280460 Nossa Senhora das Dores";25774
"280470 Nossa Senhora de Lourdes";6416
"280480 Nossa Senhora do Socorro";172909
"280490 Pacatuba";13846
"280500 Pedra Mole";3136
"280510 Pedrinhas";9277
"280520 Pinhão";6311
"280530 Pirambu";8872
"280540 Poço Redondo";32984
"280550 Poço Verde";23010
"280560 Porto da Folha";28094
"280570 Propriá";29288
"280580 Riachão do Dantas";19782
"280590 Riachuelo";9844
"280600 Ribeirópolis";18028
"280610 Rosário do Catete";10062
"280620 Salgado";19858
"280630 Santa Luzia do Itanhy";13592
"280650 Santa Rosa de Lima";3864
"280640 Santana do São Francisco";7450
"280660 Santo Amaro das Brotas";11846
"280670 São Cristóvão";84800
"280680 São Domingos";10774
"280690 São Francisco";3432
"280700 São Miguel do Aleixo";3843
"280710 Simão Dias";39856
"280720 Siriri";8493
"280730 Telha";3111
"280740 Tobias Barreto";50438
"280750 Tomar do Geru";13541
"280760 Umbaúba";23974
"290010 Abaíra";8890
"290020 Abaré";18696
"290030 Acajutiba";15006
"290035 Adustina";16578
"290040 Água Fria";16621
"290060 Aiquara";4606
"290070 Alagoinhas";147693
"290080 Alcobaça";22361
"290090 Almadina";5986
"290100 Amargosa";36175
"290110 Amélia Rodrigues";25390
"290115 América Dourada";16114
"290120 Anagé";24124
"290130 Andaraí";13200
"290135 Andorinha";15083
"290140 Angical";14183
"290150 Anguera";10817
"290160 Antas";18283
"290170 Antônio Cardoso";11722
"290180 Antônio Gonçalves";11370
"290190 Aporá";17436
"290195 Apuarema";7484
"290205 Araças";12008
"290200 Aracatu";13613
"290210 Araci";52950
"290220 Aramari";11063
"290225 Arataca";11327
"290230 Aratuípe";8764
"290240 Aurelino Leal";12767
"290250 Baianópolis";13603
"290260 Baixa Grande";20567
"290265 Banzaê";13169
"290270 Barra";51810
"290280 Barra da Estiva";21690
"290290 Barra do Choça";33716
"290300 Barra do Mendes";13358
"290310 Barra do Rocha";6259
"290320 Barreiras";147249
"290323 Barro Alto";14277
"290330 Barro Preto";6357
"290327 Barrocas";15303
"290340 Belmonte";22747
"290350 Belo Campo";17751
"290360 Biritinga";15953
"290370 Boa Nova";14257
"290380 Boa Vista do Tupim";18810
"290390 Bom Jesus da Lapa";66403
"290395 Bom Jesus da Serra";10193
"290400 Boninal";13956
"290405 Bonito";16118
"290410 Boquira";21565
"290420 Botuporã";10660
"290430 Brejões";14680
