"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"521490 Nova Roma";-;-;-;-;1;-;-;-;-;-;-;-;1
"521500 Nova Veneza";5;13;63;62;95;18;1;1;-;4;5;1;268
"521520 Novo Brasil";2;5;1;4;-;2;2;16;3;-;5;6;46
"521523 Novo Gama";8;1;2;12;3;2;-;-;-;1;-;1;30
"521525 Novo Planalto";-;1;2;-;-;-;-;-;-;-;-;-;3
"521530 Orizona";-;-;2;2;1;1;-;-;-;-;2;2;10
"521540 Ouro Verde de Goiás";-;-;2;-;-;-;-;-;-;-;-;-;2
"521550 Ouvidor";-;4;7;12;12;8;-;-;-;1;-;-;44
"521560 Padre Bernardo";5;3;2;4;1;1;-;-;4;12;36;50;118
"521565 Palestina de Goiás";2;1;1;2;1;1;-;14;7;2;1;2;34
"521570 Palmeiras de Goiás";6;4;12;5;19;3;3;-;-;-;1;-;53
"521580 Palmelo";-;-;1;-;-;-;-;-;-;-;-;-;1
"521590 Palminópolis";-;-;-;1;2;-;1;-;-;-;-;-;4
"521600 Panamá";-;1;4;1;1;1;5;-;-;-;-;2;15
"521630 Paranaiguara";68;88;111;57;31;32;7;6;1;-;7;5;413
"521640 Paraúna";4;2;14;5;2;1;-;-;-;-;1;-;29
"521645 Perolândia";-;-;-;1;5;4;-;4;-;-;-;-;14
"521680 Petrolina de Goiás";-;5;28;24;20;3;2;1;-;-;-;1;84
"521690 Pilar de Goiás";-;-;-;-;-;-;-;-;-;-;-;3;3
"521710 Piracanjuba";1;7;12;15;24;12;7;-;-;1;1;6;86
"521720 Piranhas";8;19;23;8;14;2;4;-;-;4;4;29;115
"521730 Pirenópolis";7;3;2;23;12;21;8;-;3;5;9;50;143
"521740 Pires do Rio";5;22;103;182;143;53;23;7;2;1;4;3;548
"521760 Planaltina";2;3;2;-;3;1;1;1;2;-;-;-;15
"521770 Pontalina";-;2;4;7;4;5;-;2;-;1;2;-;27
"521800 Porangatu";585;104;171;12;5;-;-;-;-;4;4;8;893
"521805 Porteirão";6;5;3;5;5;-;-;1;2;6;19;4;56
"521810 Portelândia";-;-;1;6;43;7;2;-;-;-;-;9;68
"521830 Posse";4;22;70;275;418;157;44;10;6;43;120;201;1370
"521839 Professor Jamil";1;-;1;8;7;3;-;-;-;-;-;-;20
"521850 Quirinópolis";208;254;95;48;18;4;2;-;2;6;10;4;651
"521860 Rialma";4;2;2;-;5;5;2;2;-;1;1;1;25
"521870 Rianápolis";-;1;1;-;3;-;-;-;-;-;-;-;5
"521878 Rio Quente";-;3;1;4;3;1;-;-;-;-;2;-;14
"521880 Rio Verde";14;106;438;847;686;261;71;69;21;17;14;16;2560
"521890 Rubiataba";4;-;2;8;11;-;1;3;1;11;12;29;82
"521900 Sanclerlândia";2;1;2;6;9;-;1;-;-;-;3;6;30
"521910 Santa Bárbara de Goiás";22;43;26;30;17;9;3;-;-;2;-;-;152
"521925 Santa Fé de Goiás";1;1;30;16;3;2;1;-;-;1;-;1;56
"521930 Santa Helena de Goiás";16;12;50;42;57;18;2;-;-;2;5;5;209
"521935 Santa Isabel";2;-;-;2;2;-;-;-;-;-;1;1;8
"521940 Santa Rita do Araguaia";1;1;-;11;6;8;1;2;-;1;1;3;35
"521945 Santa Rita do Novo Destino";1;1;1;-;5;1;-;-;-;-;-;-;9
"521950 Santa Rosa de Goiás";-;4;2;5;1;2;1;-;-;-;-;2;17
"521960 Santa Tereza de Goiás";-;2;5;6;1;-;-;-;-;-;-;2;16
"521970 Santa Terezinha de Goiás";9;15;27;56;12;-;4;5;3;17;24;46;218
"521971 Santo Antônio da Barra";2;2;-;11;3;7;-;2;-;4;2;7;40
"521973 Santo Antônio de Goiás";-;4;8;20;24;9;-;-;-;-;-;-;65
"521975 Santo Antônio do Descoberto";10;4;-;8;59;28;4;4;-;1;6;24;148
"521980 São Domingos";-;-;-;3;-;-;-;1;2;-;-;-;6
"521990 São Francisco de Goiás";-;-;1;3;3;2;-;-;-;-;-;1;10
"522000 São João d'Aliança";-;-;-;1;-;-;-;-;-;-;-;-;1
"522005 São João da Paraúna";-;-;1;1;2;-;-;-;-;-;-;1;5
"522010 São Luís de Montes Belos";1;2;18;20;45;20;18;11;9;3;8;46;201
"522015 São Luíz do Norte";-;1;2;2;3;1;-;5;4;1;-;1;20
"522020 São Miguel do Araguaia";1;4;23;20;34;21;11;8;6;-;16;23;167
"522026 São Miguel do Passa Quatro";-;1;3;2;-;-;-;-;-;-;-;-;6
"522028 São Patrício";-;-;-;1;-;-;-;-;-;-;-;-;1
"522040 São Simão";419;514;365;93;27;8;3;10;6;13;9;8;1475
"522045 Senador Canedo";327;1021;1388;462;327;68;35;6;7;12;217;49;3919
"522050 Serranópolis";-;-;6;12;11;8;1;2;-;-;1;1;42
"522060 Silvânia";-;1;1;8;10;3;2;1;-;-;2;1;29
"522068 Simolândia";1;1;-;2;7;5;-;-;-;-;-;-;16
"522070 Sítio d'Abadia";-;-;-;-;-;-;-;1;-;-;-;-;1
"522100 Taquaral de Goiás";-;-;-;1;-;-;-;-;-;-;-;-;1
"522119 Terezópolis de Goiás";2;1;10;8;8;-;-;-;-;-;-;-;29
"522130 Três Ranchos";-;2;6;3;7;-;-;-;-;2;-;4;24
"522140 Trindade";335;552;398;400;344;187;93;127;63;68;68;66;2701
"522145 Trombas";3;8;4;-;-;1;-;-;-;-;-;-;16
"522150 Turvânia";1;4;5;4;17;4;-;1;-;1;-;-;37
"522155 Turvelândia";-;3;-;1;4;1;1;-;-;-;-;-;10
"522157 Uirapuru";-;-;-;3;-;1;-;-;-;-;22;12;38
"522160 Uruaçu";4;5;8;31;41;24;10;2;5;24;41;42;237
"522170 Uruana";5;4;9;15;10;2;2;-;-;-;2;-;49
"522180 Urutaí";-;-;3;2;-;-;-;-;-;-;-;-;5
"522185 Valparaíso de Goiás";16;4;11;16;10;2;2;1;2;6;5;7;82
"522190 Varjão";1;3;35;59;17;3;1;1;-;-;-;-;120
"522200 Vianópolis";2;3;2;3;1;1;-;-;-;-;-;3;15
"522205 Vicentinópolis";7;20;35;13;5;-;-;-;-;-;1;1;82
"522230 Vila Propício";1;5;-;-;6;-;-;2;-;4;2;-;20
"530010 Brasília";220;205;214;274;315;198;131;90;99;137;216;374;2473
"Total";18390;22612;34436;45985;41183;22929;14298;11278;7753;10196;14206;22194;265460
