"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";217;212;44;11;-;-;-;-;-;-;-;3;487
"110037 Alto Alegre dos Parecis";1;1;1;1;-;-;-;-;-;1;1;1;7
"110040 Alto Paraíso";1;2;6;2;-;-;-;-;-;-;-;1;12
"110034 Alvorada D'Oeste";9;22;30;16;1;-;-;-;-;-;1;3;82
"110002 Ariquemes";11;4;14;11;5;1;2;1;-;3;7;3;62
"110045 Buritis";46;82;57;36;21;2;3;-;1;1;2;12;263
"110003 Cabixi";31;11;7;1;-;-;-;-;-;-;-;2;52
"110060 Cacaulândia";-;-;-;2;1;-;-;-;-;-;1;9;13
"110004 Cacoal";72;93;43;20;6;2;1;-;-;2;1;8;248
"110070 Campo Novo de Rondônia";6;4;3;1;-;-;1;-;-;-;2;-;17
"110080 Candeias do Jamari";21;19;8;12;5;-;-;-;-;-;4;10;79
"110090 Castanheiras";1;7;5;10;4;-;-;1;-;-;-;-;28
"110005 Cerejeiras";91;145;85;6;2;-;-;1;-;2;2;15;349
"110092 Chupinguaia";12;5;10;3;-;-;1;-;-;-;-;-;31
"110006 Colorado do Oeste";8;15;4;1;1;-;-;4;1;-;-;1;35
"110007 Corumbiara";-;1;7;3;-;-;-;-;-;-;-;1;12
"110008 Costa Marques";5;26;6;-;-;-;-;-;-;-;-;-;37
"110094 Cujubim";2;-;4;5;-;-;-;-;-;-;16;37;64
"110009 Espigão D'Oeste";279;110;40;36;19;6;5;1;1;-;2;12;511
"110100 Governador Jorge Teixeira";-;10;4;-;-;-;-;-;-;-;-;-;14
"110010 Guajará-Mirim";9;49;94;45;44;14;15;-;2;1;9;1;283
"110110 Itapuã do Oeste";1;7;11;7;1;3;8;1;-;-;-;-;39
"110011 Jaru";5;20;16;34;2;3;10;-;-;-;5;21;116
"110012 Ji-Paraná";168;383;283;59;2;2;2;-;1;-;2;24;926
"110013 Machadinho D'Oeste";14;38;44;4;6;6;-;-;2;1;54;293;462
"110120 Ministro Andreazza";2;10;8;1;-;-;-;-;-;-;1;6;28
"110130 Mirante da Serra";1;4;-;4;-;-;3;-;-;-;-;-;12
"110140 Monte Negro";5;6;4;3;1;-;-;-;-;-;1;10;30
"110014 Nova Brasilândia D'Oeste";101;119;75;24;17;3;-;-;-;-;1;7;347
"110033 Nova Mamoré";14;14;28;51;35;11;6;-;-;-;-;-;159
"110143 Nova União";1;2;-;4;2;3;-;-;-;-;-;-;12
"110050 Novo Horizonte do Oeste";3;39;20;1;-;-;-;-;-;-;-;2;65
"110015 Ouro Preto do Oeste";11;23;47;16;-;-;-;1;1;3;1;3;106
"110145 Parecis";23;17;4;8;1;-;-;-;-;-;-;11;64
"110018 Pimenta Bueno";100;156;123;102;21;9;1;1;1;4;5;3;526
"110146 Pimenteiras do Oeste";-;14;23;2;1;-;-;-;-;-;-;1;41
"110020 Porto Velho";75;292;232;135;52;34;48;17;26;21;34;42;1008
"110025 Presidente Médici";5;9;18;54;11;3;-;-;2;-;-;-;102
"110147 Primavera de Rondônia";3;3;1;-;-;-;-;-;-;-;-;-;7
"110026 Rio Crespo";7;8;14;13;3;-;-;-;-;-;-;-;45
"110028 Rolim de Moura";170;67;79;20;2;3;-;-;1;2;-;16;360
"110029 Santa Luzia D'Oeste";33;15;4;2;-;-;-;-;-;-;-;-;54
"110148 São Felipe D'Oeste";12;12;12;7;2;2;1;1;-;1;-;-;50
