"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;1;3;-;1;1;-;-;-;-;-;1;7
"110037 Alto Alegre dos Parecis";52;18;3;2;3;2;1;-;1;-;-;3;85
"110040 Alto Paraíso";5;3;3;1;-;-;-;-;-;-;-;-;12
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;2;-;-;-;-;2
"110002 Ariquemes";32;35;11;18;21;18;12;1;1;-;1;5;155
"110045 Buritis";26;21;8;12;20;17;30;9;7;6;10;41;207
"110003 Cabixi";4;2;2;-;2;-;-;-;-;-;-;1;11
"110060 Cacaulândia";-;1;-;1;14;2;4;-;-;-;-;-;22
"110004 Cacoal";6;8;15;17;18;17;7;3;-;-;4;18;113
"110070 Campo Novo de Rondônia";-;-;8;-;-;-;-;1;-;-;-;-;9
"110005 Cerejeiras";38;28;43;28;10;2;1;2;1;-;1;-;154
"110092 Chupinguaia";-;-;-;-;-;-;-;1;1;1;4;-;7
"110006 Colorado do Oeste";5;7;20;23;7;-;-;-;-;-;-;-;62
"110007 Corumbiara";8;9;8;2;2;3;3;2;-;-;-;-;37
"110008 Costa Marques";-;2;2;-;2;5;4;1;-;-;1;11;28
"110009 Espigão D'Oeste";1;2;5;18;30;30;25;13;-;-;-;1;125
"110100 Governador Jorge Teixeira";-;-;2;2;3;-;-;2;-;-;-;-;9
"110010 Guajará-Mirim";-;6;-;3;5;4;3;2;3;-;1;2;29
"110110 Itapuã do Oeste";-;21;11;9;26;20;18;8;2;-;-;4;119
"110011 Jaru";10;10;12;6;41;10;8;1;2;1;2;17;120
"110012 Ji-Paraná";1;2;3;-;-;1;-;1;-;-;1;1;10
"110013 Machadinho D'Oeste";2;1;1;6;1;1;12;5;1;2;2;6;40
"110120 Ministro Andreazza";-;-;-;-;2;-;1;2;-;-;-;-;5
"110130 Mirante da Serra";1;-;-;-;-;-;-;-;-;-;-;-;1
"110140 Monte Negro";3;3;8;1;-;-;-;2;-;1;-;-;18
"110014 Nova Brasilândia D'Oeste";11;48;74;55;30;10;6;4;-;-;-;2;240
"110033 Nova Mamoré";27;44;65;46;17;12;6;1;-;2;-;2;222
"110143 Nova União";-;-;1;1;-;-;-;-;-;-;-;-;2
"110050 Novo Horizonte do Oeste";-;-;-;-;1;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";3;1;-;-;1;2;1;2;-;-;-;1;11
"110145 Parecis";2;7;24;3;3;5;1;2;4;-;-;1;52
"110018 Pimenta Bueno";2;2;8;10;5;7;-;3;-;1;-;-;38
"110146 Pimenteiras do Oeste";7;11;-;-;-;-;-;-;-;-;-;-;18
"110020 Porto Velho";44;81;43;39;13;14;18;10;3;14;8;22;309
"110025 Presidente Médici";1;1;1;9;6;-;-;1;-;-;-;-;19
"110147 Primavera de Rondônia";-;-;1;-;-;-;-;-;-;4;31;55;91
"110026 Rio Crespo";-;-;-;10;-;4;2;-;-;-;-;-;16
"110028 Rolim de Moura";4;4;6;11;42;31;28;14;7;1;3;6;157
"110029 Santa Luzia D'Oeste";1;4;6;1;9;3;1;3;2;-;-;-;30
"110148 São Felipe D'Oeste";1;2;1;4;8;-;1;3;2;1;-;-;23
"110149 São Francisco do Guaporé";2;16;14;10;8;1;2;3;-;-;1;-;57
"110032 São Miguel do Guaporé";6;10;27;3;34;5;3;1;-;1;-;-;90
"110155 Teixeirópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"110160 Theobroma";1;1;3;3;1;1;-;1;-;-;1;-;12
"110170 Urupá";-;1;-;-;-;-;-;-;-;-;-;-;1
"110175 Vale do Anari";3;10;7;7;10;1;-;-;-;-;-;-;38
"110180 Vale do Paraíso";-;-;1;-;-;-;-;-;-;-;-;-;1
"110030 Vilhena";37;208;324;311;135;67;20;15;4;6;7;17;1151
"120001 Acrelândia";15;3;2;3;1;-;1;1;-;5;-;4;35
"120005 Assis Brasil";25;44;40;17;8;-;-;-;-;2;12;45;193
"120010 Brasiléia";69;66;46;26;14;17;19;10;10;36;121;292;726
"120013 Bujari";-;-;-;-;-;-;-;1;-;1;-;2;4
"120017 Capixaba";1;-;-;-;-;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";1402;411;110;54;365;210;84;33;32;28;42;195;2966
"120025 Epitaciolândia";8;4;9;6;8;4;2;5;8;1;11;18;84
"120030 Feijó";10;22;16;-;-;-;-;-;-;-;-;1;49
"120033 Mâncio Lima";56;20;13;6;13;15;5;6;1;5;4;9;153
"120034 Manoel Urbano";5;2;-;-;-;-;-;-;-;-;-;-;7
"120035 Marechal Thaumaturgo";102;25;9;3;1;1;-;4;15;12;155;264;591
"120038 Plácido de Castro";2;-;1;-;-;-;-;-;-;-;-;1;4
"120080 Porto Acre";1;-;-;-;-;-;-;-;1;23;43;61;129
"120039 Porto Walter";8;9;4;1;-;-;-;-;-;-;-;-;22
"120040 Rio Branco";307;159;76;56;103;80;25;29;26;26;94;454;1435
"120042 Rodrigues Alves";94;53;34;11;46;25;22;19;6;6;14;33;363
"120050 Sena Madureira";13;5;12;12;13;5;3;-;-;-;1;6;70
"120045 Senador Guiomard";3;1;2;-;-;-;-;2;1;1;3;14;27
"120060 Tarauacá";280;119;77;20;7;13;11;14;4;13;67;229;854
"120070 Xapuri";133;35;17;5;4;-;-;-;1;-;5;54;254
"130020 Atalaia do Norte";6;1;-;2;-;-;-;-;-;-;-;-;9
"130040 Barcelos";-;4;1;4;4;7;11;-;7;7;-;-;45
"130060 Benjamin Constant";438;126;55;21;6;-;-;-;-;1;5;59;711
"130070 Boca do Acre";10;11;5;-;7;12;11;5;108;156;239;83;647
"130080 Borba";11;-;1;3;-;-;-;-;1;-;-;-;16
"130100 Carauari";170;91;41;26;16;6;7;1;-;-;-;21;379
"130110 Careiro";-;5;-;-;-;-;-;-;-;-;-;-;5
"130120 Coari";2;3;2;-;-;-;-;-;-;1;-;-;8
"130130 Codajás";3;2;2;-;-;-;-;-;-;-;-;-;7
"130140 Eirunepé";37;26;38;18;20;6;2;4;6;32;19;74;282
